"","Phy","Valid","abs_lat_native","total.area.introduced","Stratum","Phy_all_underscore","total.area.native","LogArea.native","Name","EFN","Domatia","Seed_Dispersal"
"2703","Strumigenys_trieces","Strumigenys.trieces",10.19135058,0,NA,"Strumigenys_trieces",393022.3893,5.594417292,"Strumigenys trieces",0,0,0
"2704","Strumigenys_uichancoi","Strumigenys.uichancoi",11.15980058,0,NA,"Strumigenys_uichancoi",429178.5224,5.63263798,"Strumigenys uichancoi",0,0,0
"2705","Strumigenys_usbensis","Strumigenys.usbensis",6.56885058,0,NA,"Strumigenys_usbensis",912675.4032,5.960316346,"Strumigenys usbensis",0,0,0
"2706","Strumigenys_veddha","Strumigenys.veddha",7.87300058,0,NA,"Strumigenys_veddha",66298.46513,4.821503474,"Strumigenys veddha",0,0,0
"2707","Strumigenys_waiwai","Strumigenys.waiwai",4.86035058,0,NA,"Strumigenys_waiwai",293761.3374,5.467994637,"Strumigenys waiwai",0,0,0
"2708","Strumigenys_wheeleriana","Strumigenys.wheeleriana",3.79100058,0,NA,"Strumigenys_wheeleriana",2959855.715,6.471270541,"Strumigenys wheeleriana",0,0,0
"2709","Strumigenys_wilsoniana","Strumigenys.wilsoniana",29.16715058,0,NA,"Strumigenys_wilsoniana",100328.3107,5.0014235,"Strumigenys wilsoniana",0,0,0
"2710","Strumigenys_xenos","Strumigenys.xenos",33.64869942,268489.8939,"Arboreal & Epigaeic & Hypogaeic","Strumigenys_xenos",1032753.609,6.013996721,"Strumigenys xenos",0,0,0
"2711","Strumigenys_zakharovi","Strumigenys.zakharovi",18.50714942,0,NA,"Strumigenys_zakharovi",694.4140133,2.841618476,"Strumigenys zakharovi",0,0,0
"2712","Talaridris_mandibularis","Talaridris.mandibularis",9.69860058,0,NA,"Talaridris_mandibularis",1219344.935,6.086126579,"Talaridris mandibularis",0,0,0
"2713","Tapinoma_aberrans","Tapinoma.aberrans",18.77294942,0,NA,"Tapinoma_aberrans",593087.2472,5.773118586,"Tapinoma aberrans",0,0,0
"2714","Tapinoma_antarcticum","Tapinoma.antarcticum",28.5631985,0,NA,"Tapinoma_antarcticum",446176.1604,5.649506362,"Tapinoma antarcticum",0,0,0
"2715","Tapinoma_erraticum","Tapinoma.erraticum",44.01835058,0,NA,"Tapinoma_erraticum",21495170.78,7.3323409,"Tapinoma erraticum",1,0,1
"2716","Tapinoma_geei","Tapinoma.geei",36.64160058,0,NA,"Tapinoma_geei",3910370.587,6.592217918,"Tapinoma geei",0,0,0
"2717","Tapinoma_indicum","Tapinoma.indicum",14.84480058,0,NA,"Tapinoma_indicum",6801746.605,6.832620448,"Tapinoma indicum",0,0,0
"2718","Tapinoma_israele","Tapinoma.israele",30.36315058,0,NA,"Tapinoma_israele",2671196.392,6.426705819,"Tapinoma israele",0,0,0
"2719","Tapinoma_karavaievi","Tapinoma.karavaievi",40.25995058,0,NA,"Tapinoma_karavaievi",6864148.719,6.836586684,"Tapinoma karavaievi",0,0,0
"2720","Tapinoma_kinburni","Tapinoma.kinburni",47.00345058,0,NA,"Tapinoma_kinburni",1459320.28,6.164150618,"Tapinoma kinburni",0,0,0
"2721","Tapinoma_luteum","Tapinoma.luteum",16.04309942,0,NA,"Tapinoma_luteum",6875567.868,6.837308573,"Tapinoma luteum",0,0,0
"2722","Tapinoma_madeirense","Tapinoma.madeirense",49.54180058,25774.66162,"Arboreal & Epigaeic","Tapinoma_madeirense",6345177.912,6.802443804,"Tapinoma madeirense",0,0,0
"2723","Tapinoma_melanocephalum","Tapinoma.melanocephalum",13.69860058,55704480.46,"Arboreal & Epigaeic","Tapinoma_melanocephalum",13640423.16,7.134827843,"Tapinoma melanocephalum",1,0,0
"2724","Tapinoma_minor","Tapinoma.minor",28.03385058,0,NA,"Tapinoma_minor",2720959.206,6.434722031,"Tapinoma minor",0,0,0
"2725","Tapinoma_minutum","Tapinoma.minutum",9.41739942,512662.339,"Arboreal & Epigaeic","Tapinoma_minutum",6413570.296,6.807099859,"Tapinoma minutum",0,0,0
"2726","Tapinoma_nigerrimum","Tapinoma.nigerrimum",35.03375058,1186376.819,"Arboreal & Epigaeic","Tapinoma_nigerrimum",10547474.13,7.023148469,"Tapinoma nigerrimum",0,0,1
"2727","Tapinoma_panamense","Tapinoma.panamense",9.20905058,0,NA,"Tapinoma_panamense",125772.1456,5.09958447,"Tapinoma panamense",0,0,0
"2728","Tapinoma_pygmaeum","Tapinoma.pygmaeum",43.17705058,35607.34397,"Arboreal & Epigaeic","Tapinoma_pygmaeum",1284413.655,6.108704914,"Tapinoma pygmaeum",0,0,0
"2729","Tapinoma_schreiberi","Tapinoma.schreiberi",37.26780058,0,NA,"Tapinoma_schreiberi",694296.2534,5.841544822,"Tapinoma schreiberi",0,0,0
"2730","Tapinoma_sessile","Tapinoma.sessile",39.17480058,705621.8628,"Arboreal & Epigaeic","Tapinoma_sessile",27778306.55,7.443705766,"Tapinoma sessile",1,0,1
"2731","Tapinoma_simrothi","Tapinoma.simrothi",35.03375058,8304792.675,"Arboreal & Epigaeic","Tapinoma_simrothi",12981529.38,7.113325861,"Tapinoma simrothi",0,0,0
"2732","Tapinoma_subboreale","Tapinoma.subboreale",52.16165058,0,NA,"Tapinoma_subboreale",6426258.172,6.807958169,"Tapinoma subboreale",0,0,0
"2733","Tapinoma_wilsoni","Tapinoma.wilsoni",23.88590058,0,NA,"Tapinoma_wilsoni",1955714.508,6.291305457,"Tapinoma wilsoni",0,0,0
"2734","Tatuidris_tatusia","Tatuidris.tatusia",4.66015058,0,NA,"Tatuidris_tatusia",4680948.837,6.670333894,"Tatuidris tatusia",0,0,0
"2735","Technomyrmex_albipes","Technomyrmex.albipes",14.29165058,21101368.87,"Arboreal & Epigaeic","Technomyrmex_albipes",8954196.678,6.952026629,"Technomyrmex albipes",1,1,0
"2736","Technomyrmex_antennus","Technomyrmex.antennus",22.47315058,0,NA,"Technomyrmex_antennus",3318675.924,6.520964845,"Technomyrmex antennus",0,0,0
"2737","Technomyrmex_bicolor","Technomyrmex.bicolor",20.08395058,0,NA,"Technomyrmex_bicolor",1663762.63,6.221091365,"Technomyrmex bicolor",0,0,0
"2738","Technomyrmex_briani","Technomyrmex.briani",23.88590058,0,NA,"Technomyrmex_briani",2954447.247,6.47047624,"Technomyrmex briani",0,0,0
"2739","Technomyrmex_brunneus","Technomyrmex.brunneus",17.23525058,1802481.648,"Arboreal & Epigaeic","Technomyrmex_brunneus",5087342.991,6.706491019,"Technomyrmex brunneus",0,0,0
"2740","Technomyrmex_butteli","Technomyrmex.butteli",7.29775058,0,NA,"Technomyrmex_butteli",2484456.277,6.395231358,"Technomyrmex butteli",0,0,0
"2741","Technomyrmex_difficilis","Technomyrmex.difficilis",0.38985058,11848787.23,"Arboreal & Epigaeic","Technomyrmex_difficilis",634411.7602,5.802371225,"Technomyrmex difficilis",0,0,0
"2742","Technomyrmex_elatior","Technomyrmex.elatior",16.64220058,286891.2335,"Arboreal & Epigaeic","Technomyrmex_elatior",4146545.945,6.617686482,"Technomyrmex elatior",0,0,0
"2743","Technomyrmex_fulvus","Technomyrmex.fulvus",7.60595058,0,NA,"Technomyrmex_fulvus",171879.8562,5.235224982,"Technomyrmex fulvus",0,0,0
"2744","Technomyrmex_jocosus","Technomyrmex.jocosus",32.01459942,268531.4651,"Arboreal & Epigaeic","Technomyrmex_jocosus",4854987.386,6.686188106,"Technomyrmex jocosus",0,0,0
"2745","Technomyrmex_modiglianii","Technomyrmex.modiglianii",8.92470058,0,NA,"Technomyrmex_modiglianii",2918794.273,6.465203485,"Technomyrmex modiglianii",0,0,0
"2746","Technomyrmex_montaseri","Technomyrmex.montaseri",22.37380058,0,NA,"Technomyrmex_montaseri",2685008.068,6.428945595,"Technomyrmex montaseri",0,0,0
"2747","Technomyrmex_sundaicus","Technomyrmex.sundaicus",7.474694289,0,NA,"Technomyrmex_sundaicus",1491082.24,6.173501598,"Technomyrmex sundaicus",0,0,0
"2748","Technomyrmex_vexatus","Technomyrmex.vexatus",28.19270058,913991.2024,"Arboreal & Epigaeic","Technomyrmex_vexatus",1317444.259,6.119732249,"Technomyrmex vexatus",0,0,0
"2749","Technomyrmex_vitiensis","Technomyrmex.vitiensis",11.34140058,5769754.975,"Arboreal & Epigaeic","Technomyrmex_vitiensis",4186303.445,6.621830705,"Technomyrmex vitiensis",0,0,0
"2750","Technomyrmex_voeltzkowi","Technomyrmex.voeltzkowi",21.17364942,0,NA,"Technomyrmex_voeltzkowi",5090376.426,6.706749899,"Technomyrmex voeltzkowi",0,0,0
"2751","Technomyrmex_wheeleri","Technomyrmex.wheeleri",8.00330058,0,NA,"Technomyrmex_wheeleri",1171075.695,6.068584968,"Technomyrmex wheeleri",0,0,0
"2752","Temnothorax_affinis","Temnothorax.affinis",51.93455058,0,NA,"Temnothorax_affinis",11032164.64,7.042660734,"Temnothorax affinis",0,0,0
"2753","Temnothorax_albipennis","Temnothorax.albipennis",48.05370058,0,NA,"Temnothorax_albipennis",3319550.585,6.521079291,"Temnothorax albipennis",0,0,0
"2754","Temnothorax_algiricus","Temnothorax.algiricus",32.75955058,0,NA,"Temnothorax_algiricus",3431476.985,6.53548109,"Temnothorax algiricus",0,0,0
"2755","Temnothorax_allardycei","Temnothorax.allardycei",25.95845058,0,NA,"Temnothorax_allardycei",159959.551,5.204010176,"Temnothorax allardycei",0,0,0
"2756","Temnothorax_ambiguus","Temnothorax.ambiguus",46.38790058,0,NA,"Temnothorax_ambiguus",9099481.142,6.959016629,"Temnothorax ambiguus",0,0,0
"2757","Temnothorax_andrei","Temnothorax.andrei",33.69640058,0,NA,"Temnothorax_andrei",2851314.963,6.455045193,"Temnothorax andrei",0,0,0
"2758","Temnothorax_arenarius","Temnothorax.arenarius",28.15845058,0,NA,"Temnothorax_arenarius",4117613.462,6.614645575,"Temnothorax arenarius",0,0,0
"2759","Temnothorax_aveli","Temnothorax.aveli",41.36040058,0,NA,"Temnothorax_aveli",2557705.74,6.407850578,"Temnothorax aveli",0,0,0
"2760","Temnothorax_bimbache","Temnothorax.bimbache",28.52915058,0,NA,"Temnothorax_bimbache",7482.254468,3.874032474,"Temnothorax bimbache",0,0,0
"2761","Temnothorax_blascoi","Temnothorax.blascoi",39.52785058,0,NA,"Temnothorax_blascoi",493663.7919,5.693431275,"Temnothorax blascoi",0,0,0
"2762","Temnothorax_bradleyi","Temnothorax.bradleyi",30.61365058,0,NA,"Temnothorax_bradleyi",790326.2641,5.897806415,"Temnothorax bradleyi",0,0,0
"2763","Temnothorax_bulgaricus","Temnothorax.bulgaricus",37.83395058,0,NA,"Temnothorax_bulgaricus",1175492.71,6.07021994,"Temnothorax bulgaricus",0,0,0
"2764","Temnothorax_clypeatus","Temnothorax.clypeatus",45.15980058,0,NA,"Temnothorax_clypeatus",3673016.421,6.56502287,"Temnothorax clypeatus",0,0,0
"2765","Temnothorax_corticalis","Temnothorax.corticalis",51.93455058,0,NA,"Temnothorax_corticalis",6322561.356,6.800893053,"Temnothorax corticalis",0,0,0
"2766","Temnothorax_crassispinus","Temnothorax.crassispinus",41.63860058,0,NA,"Temnothorax_crassispinus",12448444.5,7.095115087,"Temnothorax crassispinus",0,0,1
"2767","Temnothorax_cuneinodis","Temnothorax.cuneinodis",40.33980058,0,NA,"Temnothorax_cuneinodis",122606.6758,5.088514118,"Temnothorax cuneinodis",0,0,0
"2768","Temnothorax_curtulus","Temnothorax.curtulus",31.38455058,0,NA,"Temnothorax_curtulus",3214622.998,6.507130047,"Temnothorax curtulus",0,0,0
"2769","Temnothorax_curvispinosus","Temnothorax.curvispinosus",40.70155058,0,NA,"Temnothorax_curvispinosus",6532421.553,6.815074203,"Temnothorax curvispinosus",0,0,1
"2770","Temnothorax_duloticus","Temnothorax.duloticus",46.92015058,0,NA,"Temnothorax_duloticus",1825122.749,6.261292078,"Temnothorax duloticus",0,0,0
"2771","Temnothorax_exilis","Temnothorax.exilis",35.03375058,0,NA,"Temnothorax_exilis",7147170.233,6.854134126,"Temnothorax exilis",0,0,0
"2772","Temnothorax_flavicornis","Temnothorax.flavicornis",42.94995058,0,NA,"Temnothorax_flavicornis",2085611.263,6.319233363,"Temnothorax flavicornis",0,0,0
"2773","Temnothorax_graecus","Temnothorax.graecus",40.82845058,0,NA,"Temnothorax_graecus",1454246.355,6.162637984,"Temnothorax graecus",0,0,0
