Species,fixer,num_introduced,total_area_introduced,total_area_native,lat_native,abs_lat_native,annual,uses_num_uses
Acacia_cardiophylla,1,2,2.68E+11,8.02E+11,-32.17021086,32.17021086,0,1
Acacia_catechu,1,5,2.29E+12,8.61E+12,22.36270805,22.36270805,0,4
Acacia_catenulata,1,0,0,3.08E+12,-21.20529859,21.20529859,0,0
Acacia_caven,1,0,0,5.01E+12,-27.21964295,27.21964295,0,0
Acacia_celastrifolia,1,0,0,2.53E+12,-25.46607155,25.46607155,0,1
Acacia_chariessa,1,0,0,3.90E+11,-19.00000691,19.00000691,0,0
Acacia_chrysotricha,1,0,0,8.02E+11,-32.17021086,32.17021086,0,1
Acacia_chundra,1,1,2645044536,5.42E+12,17.7198361,17.7198361,0,3
Acacia_cincinnata,1,0,0,1.73E+12,-22.57378083,22.57378083,0,1
Acacia_citrinoviridis,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_cochliacantha,1,0,0,3.03E+11,18.81953829,18.81953829,0,0
Acacia_cognata,1,0,0,1.03E+12,-33.25127933,33.25127933,0,1
Acacia_colei,1,0,0,5.61E+12,-23.16077529,23.16077529,0,3
Acacia_colletioides,1,0,0,4.54E+12,-28.33581319,28.33581319,0,0
Acacia_collinsii,1,0,0,1.79E+11,12.02784754,12.02784754,0,0
Acacia_complanata,1,0,0,2.53E+12,-25.79163463,25.79163463,0,1
Acacia_concurrens,1,0,0,2.53E+12,-25.79163463,25.79163463,0,1
Acacia_confusa,1,13,3.58E+12,1.25E+12,21.89229771,21.89229771,0,3
Acacia_constricta,1,0,0,1.77E+12,26.54462355,26.54462355,0,0
Acacia_coriacea,1,0,0,7.39E+12,-25.1628483,25.1628483,0,0
Acacia_cornigera,1,5,1.34E+12,2.40E+12,17.79278687,17.79278687,0,1
Acacia_cowleana,1,0,0,6.41E+12,-24.36798012,24.36798012,0,0
Acacia_crassicarpa,1,0,0,2.13E+12,-14.62126575,14.62126575,0,1
Acacia_cultriformis,1,13,2.08E+13,2.53E+12,-25.79163463,25.79163463,0,1
Acacia_cuthbertsonii,1,0,0,3.88E+12,-23.4204532,23.4204532,0,0
Acacia_cyclops,1,5,5.10E+12,3.51E+12,-26.80243548,26.80243548,0,4
Acacia_cyperophylla,1,0,0,6.59E+12,-24.24846479,24.24846479,0,0
Acacia_dangarensis,1,0,0,8.02E+11,-32.17021086,32.17021086,0,0
Acacia_davyi,1,0,0,3.47E+12,-21.47861499,21.47861499,0,0
Acacia_dealbata,1,28,1.45E+13,4.61E+12,-35.13929898,35.13929898,0,6
Acacia_deanei,1,0,0,3.16E+12,-16.73557126,16.73557126,0,1
Acacia_decora,1,1,1.30E+11,2.76E+12,-26.80239184,26.80239184,0,0
Acacia_decurrens,1,19,1.00E+13,6.40E+12,-17.04729784,17.04729784,0,4
Acacia_dictyophleba,1,0,0,6.59E+12,-24.24846479,24.24846479,0,0
Acacia_difficilis,1,0,0,5.61E+12,-23.16077529,23.16077529,0,0
Acacia_dimidiata,1,0,0,3.08E+12,-21.20529859,21.20529859,0,0
Acacia_dolichostachya,1,0,0,2.09E+12,19.95541934,19.95541934,0,0
Acacia_doratoxylon,1,2,2.68E+11,1.03E+12,-33.25653662,33.25653662,0,0
Acacia_drummondii,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_dudgeoni,1,0,0,5.01E+12,13.21298077,13.21298077,0,0
Acacia_dunnii,1,0,0,3.88E+12,-23.4204532,23.4204532,0,0
Acacia_ehrenbergiana,1,0,0,1.65E+13,19.98971855,19.98971855,0,0
Acacia_elata,1,11,9.68E+12,3.56E+12,-29.35867544,29.35867544,0,1
Acacia_elatior,1,0,0,3.33E+12,10.7103668,10.7103668,0,0
Acacia_elongata,1,0,0,8.02E+11,-32.17021086,32.17021086,0,0
