Phy,Name,EFN
Crematogaster_wellmani,Crematogaster wellmani,0
Cryptopone_gilva,Cryptopone gilva,0
Cryptopone_sauteri,Cryptopone sauteri,0
Cyatta_abscondita,Cyatta abscondita,0
Cyphomyrmex_cornutus,Cyphomyrmex cornutus,0
Cyphomyrmex_minutus,Cyphomyrmex minutus,0
Cyphomyrmex_rimosus,Cyphomyrmex rimosus,0
Dacatria_templaris,Dacatria templaris,0
Daceton_armigerum,Daceton armigerum,0
Diacamma_rugosum,Diacamma rugosum,0
Diaphoromyrma_sofiae,Diaphoromyrma sofiae,0
Dinoponera_australis,Dinoponera australis,0
Dinoponera_gigantea,Dinoponera gigantea,0
Discothyrea_testacea,Discothyrea testacea,0
Doleromyrma_darwiniana,Doleromyrma darwiniana,0
Dolichoderus_debilis,Dolichoderus debilis,0
Dolichoderus_decollatus,Dolichoderus decollatus,0
Dolichoderus_pustulatus,Dolichoderus pustulatus,0
Dolopomyrmex_pilatus,Dolopomyrmex pilatus,0
Dorylus_affinis,Dorylus affinis,0
Dorylus_fulvus,Dorylus fulvus,0
Dorylus_gribodoi,Dorylus gribodoi,0
Dorylus_helvolus,Dorylus helvolus,0
Dorylus_kohli,Dorylus kohli,0
Dorylus_laevigatus,Dorylus laevigatus,0
Dorylus_mayri,Dorylus mayri,0
Dorylus_nigricans,Dorylus nigricans,0
Dorylus_orientalis,Dorylus orientalis,0
Dorylus_wilverthi,Dorylus wilverthi,0
Dorymyrmex_bicolor,Dorymyrmex bicolor,0
Eciton_burchellii,Eciton burchellii,0
Eciton_dulcium,Eciton dulcium,0
Eciton_hamatum,Eciton hamatum,0
Eciton_mexicanum,Eciton mexicanum,0
Eciton_vagans,Eciton vagans,0
Ectatomma_brunneum,Ectatomma brunneum,0
Ectatomma_edentatum,Ectatomma edentatum,1
Ectatomma_lugens,Ectatomma lugens,0
Ectatomma_opaciventre,Ectatomma opaciventre,0
Ectatomma_parasiticum,Ectatomma parasiticum,0
Ectatomma_permagnum,Ectatomma permagnum,0
Ectatomma_ruidum,Ectatomma ruidum,1
Ectatomma_tuberculatum,Ectatomma tuberculatum,1
Ectatomma_vizottoi,Ectatomma vizottoi,0
Ectomomyrmex_javanus,Ectomomyrmex javanus,0
