Phy,,Valid,maxlatall,minlatall,midpoint,abs_lat_native
Camponotus_natalensis fulvipes,,Camponotus.natalensis fulvipes,-22.12389942,-46.96979942,-34.54684942,34.54684942
Camponotus_natalensis politiceps,,Camponotus.natalensis politiceps,-22.12389942,-46.96979942,-34.54684942,34.54684942
Camponotus_navigator,,Camponotus.navigator,14.59830058,-14.37559942,0.11135058,0.11135058
Camponotus_nawai,,Camponotus.nawai,45.51500058,21.90300058,33.70900058,33.70900058
Camponotus_nearcticus,,Camponotus.nearcticus,62.59360058,-34.38219942,14.10570058,14.10570058
Camponotus_nepos,,Camponotus.nepos,-20.77709942,-23.35809942,-22.06759942,22.06759942
Camponotus_nicobarensis,,Camponotus.nicobarensis,49.00310058,-8.78249942,20.11030058,20.11030058
Camponotus_nicobarensis monticola,,Camponotus.nicobarensis monticola,35.50610058,1.20160058,18.35385058,18.35385058
Camponotus_nicobarensis rabbani,,Camponotus.nicobarensis rabbani,28.54910058,9.60580058,19.07745058,19.07745058
Camponotus_nidulans,,Camponotus.nidulans,22.47220058,-22.90109942,-0.21444942,0.21444942
Camponotus_nigricans,,Camponotus.nigricans,71.16500058,-5.95559942,32.60470058,32.60470058
Camponotus_nigricans enganensis,,Camponotus.nigricans enganensis,6.71110058,-5.49949942,0.60580058,0.60580058
Camponotus_nigricans pantiensis,,Camponotus.nigricans pantiensis,5.91390058,-5.95559942,-0.02084942,0.02084942
Camponotus_nigriceps,,Camponotus.nigriceps,-9.27529942,-39.14729942,-24.21129942,24.21129942
Camponotus_nigroaeneus,,Camponotus.nigroaeneus,-25.99919942,-39.14729942,-32.57324942,32.57324942
Camponotus_nigroaeneus xuthus,,Camponotus.nigroaeneus xuthus,-13.72669942,-38.07389942,-25.90029942,25.90029942
Camponotus_nigronitidus,,Camponotus.nigronitidus,35.76220058,33.42750058,34.59485058,34.59485058
Camponotus_nipponensis,,Camponotus.nipponensis,43.47260058,30.45830058,36.96545058,36.96545058
Camponotus_nirvanae,,Camponotus.nirvanae,35.50610058,8.06970058,21.78790058,21.78790058
Camponotus_nitens,,Camponotus.nitens,8.90640058,-28.15199942,-9.62279942,9.62279942
Camponotus_nitens fuhrmanni,,Camponotus.nitens fuhrmanni,5.81770058,3.69750058,4.75760058,4.75760058
Camponotus_nitidescens,,Camponotus.nitidescens,41.74990058,34.80880058,38.27935058,38.27935058
Camponotus_nitidior,,Camponotus.nitidior,22.47220058,-5.00919942,8.73150058,8.73150058
Camponotus_niveosetosus,,Camponotus.niveosetosus,17.99480058,-46.96979942,-14.48749942,14.48749942
Camponotus_niveosetosus irredux,,Camponotus.niveosetosus irredux,-10.47109942,-46.96979942,-28.72044942,28.72044942
Camponotus_normatus,,Camponotus.normatus,11.21360058,8.02560058,9.61960058,9.61960058
Camponotus_nossibeensis,,Camponotus.nossibeensis,-11.94559942,-25.60029942,-18.77294942,18.77294942
Camponotus_novaeboracensis,,Camponotus.novaeboracensis,71.40770058,1.20160058,36.30465058,36.30465058
Camponotus_novaehollandiae,,Camponotus.novaehollandiae,1.06970058,-54.75389942,-26.84209942,26.84209942
Camponotus_novogranadensis,,Camponotus.novogranadensis,27.66890058,-33.74389942,-3.03749942,3.03749942
Camponotus_novogranadensis modestior,,Camponotus.novogranadensis modestior,11.21360058,-25.31499942,-7.05069942,7.05069942
Camponotus_nutans,,Camponotus.nutans,5.91390058,-5.95559942,-0.02084942,0.02084942
Camponotus_nutans cleliae,,Camponotus.nutans cleliae,5.91390058,-5.95559942,-0.02084942,0.02084942
Camponotus_nylanderi,,Camponotus.nylanderi,47.09470058,22.63330058,34.86400058,34.86400058
Camponotus_oasium,,Camponotus.oasium,42.79770058,10.14110058,26.46940058,26.46940058
Camponotus_oasium ninivae,,Camponotus.oasium ninivae,39.78050058,25.07520058,32.42785058,32.42785058
Camponotus_oblongus,,Camponotus.oblongus,37.06260058,1.20160058,19.13210058,19.13210058
Camponotus_oblongus binominatus,,Camponotus.oblongus binominatus,35.50610058,8.06970058,21.78790058,21.78790058
Camponotus_obreptivus,,Camponotus.obreptivus,11.21360058,-4.23689942,3.48835058,3.48835058
Camponotus_obscuripes,,Camponotus.obscuripes,77.14800058,27.03000058,52.08900058,52.08900058
Camponotus_obscuriventris,,Camponotus.obscuriventris,35.91910058,27.66420058,31.79165058,31.79165058
Camponotus_obtritus,,Camponotus.obtritus,-0.03139942,-22.90109942,-11.46624942,11.46624942
Camponotus_occasus,,Camponotus.occasus,17.19300058,14.80160058,15.99730058,15.99730058
Camponotus_ocreatus,,Camponotus.ocreatus,42.00000058,17.89220058,29.94610058,29.94610058
Camponotus_oculatior,,Camponotus.oculatior,5.38140058,-13.45809942,-4.03834942,4.03834942
Camponotus_odiosus,,Camponotus.odiosus,5.91390058,-5.95559942,-0.02084942,0.02084942
Camponotus_oertzeni,,Camponotus.oertzeni,46.18140058,25.07520058,35.62830058,35.62830058
Camponotus_oetkeri,,Camponotus.oetkeri,-9.27529942,-39.14729942,-24.21129942,24.21129942
Camponotus_oetkeri voltai,,Camponotus.oetkeri voltai,-26.55129942,-54.75389942,-40.65259942,40.65259942
Camponotus_ogasawarensis,,Camponotus.ogasawarensis,27.73270058,24.29270058,26.01270058,26.01270058
Camponotus_olivieri,,Camponotus.olivieri,13.08520058,-46.96979942,-16.94229942,16.94229942
Camponotus_olivieri concordius,,Camponotus.olivieri concordius,-4.38899942,-18.03859942,-11.21379942,11.21379942
Camponotus_olivieri delagoensis,,Camponotus.olivieri delagoensis,13.82640058,-46.96979942,-16.57169942,16.57169942
Camponotus_olivieri infelix,,Camponotus.olivieri infelix,-22.12389942,-46.96979942,-34.54684942,34.54684942
Camponotus_olivieri lemma,,Camponotus.olivieri lemma,13.82640058,-22.41479942,-4.29419942,4.29419942
Camponotus_olivieri moshianus,,Camponotus.olivieri moshianus,4.22270058,-11.74089942,-3.75909942,3.75909942
Camponotus_olivieri osiris,,Camponotus.olivieri osiris,5.38140058,-13.45809942,-4.03834942,4.03834942
Camponotus_olivieri patersoni,,Camponotus.olivieri patersoni,-17.78139942,-26.89369942,-22.33754942,22.33754942
Camponotus_olivieri pax,,Camponotus.olivieri pax,13.08520058,-3.92529942,4.57995058,4.57995058
Camponotus_olivieri sorptus,,Camponotus.olivieri sorptus,5.38140058,-13.45809942,-4.03834942,4.03834942
