bentity2_name,Phy,Genus_name,Ecological.Stratum,Exotic_status,Notes,area_sqkm
Arizona,Solenopsis_invicta,Solenopsis,Epigaeic & Hypogaeic,Exotic,,294395.2916
Arizona,Hypoponera_opaciceps,Hypoponera,Epigaeic & Hypogaeic,Exotic,,294395.2916
Arizona,Paratrechina_longicornis,Paratrechina,Epigaeic,Exotic,,294395.2916
Arizona,Brachymyrmex_patagonicus,Brachymyrmex,Arboreal & Epigaeic,Exotic,,294395.2916
Arizona,Solenopsis_globularia,Solenopsis,Epigaeic & Hypogaeic,Exotic,,294395.2916
Arizona,Pheidole_megacephala,Pheidole,Epigaeic,Intercepted,,294395.2916
Arizona,Monomorium_floricola,Monomorium,Arboreal & Epigaeic,Indoor Introduced,,294395.2916
Arizona,Crematogaster_ashmeadi,Crematogaster,Arboreal & Epigaeic,Intercepted,,294395.2916
Arizona,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Exotic,,294395.2916
Arizona,Odontomachus_haematodus,Odontomachus,Epigaeic,Exotic,,294395.2916
Arizona,Camponotus_sexguttatus,Camponotus,Arboreal & Epigaeic,Indoor Introduced,,294395.2916
Arizona,Nylanderia_bourbonica,Nylanderia,Epigaeic,Exotic,,294395.2916
Arizona,Hypoponera_opaciceps pampana,Hypoponera,Epigaeic & Hypogaeic,Exotic,,294395.2916
Arizona,Linepithema_humile,Linepithema,Epigaeic,Exotic,,294395.2916
Arkansas,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Indoor Introduced,,137529.4042
Arkansas,Solenopsis_invicta,Solenopsis,Epigaeic & Hypogaeic,Exotic,,137529.4042
Arkansas,Wasmannia_auropunctata,Wasmannia,Arboreal & Epigaeic,Exotic,,137529.4042
Arkansas,Solenopsis_richteri,Solenopsis,Epigaeic & Hypogaeic,Exotic,,137529.4042
Arkansas,Hypoponera_opaciceps,Hypoponera,Epigaeic & Hypogaeic,Exotic,,137529.4042
