"Phy","fixer","num_introduced","total_area_introduced","total_area_native","lat_native","abs_lat_native","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia"
"Caesalpinia sappan",0,20,1.83e+13,8.04e+12,9.46014365,9.46014365,0,6,"Caesalpinia sappan","Caesalpinia sappan","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caesalpinia spinosa",0,7,5.92e+12,5.91e+12,-10.26825706,10.26825706,0,2,"Caesalpinia spinosa","Caesalpinia spinosa","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Cajanus acutifolius",1,0,0,5.61e+12,-23.16077529,23.16077529,0,0,"Cajanus acutifolius","Cajanus acutifolius","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Cajanus cajan",1,67,4.6e+13,6.61e+12,12.78552409,12.78552409,0,8,"Cajanus cajan","Cajanus cajan","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,13,13,0,"Y","N",0,NA,0
"Cajanus goensis",1,0,0,3.27e+12,15.82345342,15.82345342,0,2,"Cajanus goensis","Cajanus goensis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Cajanus heynei",1,0,0,1.32e+12,12.82414538,12.82414538,0,0,"Cajanus heynei","Cajanus heynei","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Cajanus lineatus",1,0,0,7.41e+11,11.81041171,11.81041171,0,1,"Cajanus lineatus","Cajanus lineatus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Cajanus mollis",1,0,0,2.1e+12,27.5573867,27.5573867,0,0,"Cajanus mollis","Cajanus mollis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Cajanus platycarpus",1,0,0,5.02e+12,13.86995394,13.86995394,0,1,"Cajanus platycarpus","Cajanus platycarpus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Cajanus scarabaeoides",1,10,5.01e+12,1.83e+13,16.51570783,16.51570783,0,5,"Cajanus scarabaeoides","Cajanus scarabaeoides","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,8,8,0,"Y","N",0,NA,0
"Cajanus sericeus",1,0,0,1.8e+12,20.89886746,20.89886746,0,0,"Cajanus sericeus","Cajanus sericeus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calicotome infesta",1,0,0,5.55e+12,39.24248174,39.24248174,0,0,"Calicotome infesta","Calicotome infesta","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calicotome spinosa",1,2,2.68e+11,3.66e+12,38.55246407,38.55246407,0,1,"Calicotome spinosa","Calicotome spinosa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Callerya atropurpurea",1,2,1.31e+11,4.64e+12,5.79557902,5.79557902,0,0,"Callerya atropurpurea","Callerya atropurpurea","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Callerya cinerea",1,0,0,1.06e+13,19.50669444,19.50669444,0,2,"Callerya cinerea","Callerya cinerea","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Callerya megasperma",1,0,0,2.53e+12,-25.79163463,25.79163463,0,0,"Callerya megasperma","Callerya megasperma","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Callerya reticulata",1,2,5.17e+11,2.87e+12,22.24847757,22.24847757,0,0,"Callerya reticulata","Callerya reticulata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Callerya speciosa",1,0,0,7.74e+11,21.08200526,21.08200526,0,0,"Callerya speciosa","Callerya speciosa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra bella",0,0,0,5.6e+11,-12.4751082,12.4751082,0,0,"Calliandra bella","Calliandra bella","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra brevipes",1,8,3.97e+12,1.88e+12,-21.15329371,21.15329371,0,1,"Calliandra brevipes","Calliandra brevipes","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Calliandra coriacea",1,0,0,5.69e+12,9.54215243,9.54215243,0,0,"Calliandra coriacea","Calliandra coriacea","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra cruegeri",1,0,0,1.14e+12,4.59396294,4.59396294,0,0,"Calliandra cruegeri","Calliandra cruegeri","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra dysantha",1,0,0,8.47e+12,-10.77227947,10.77227947,0,0,"Calliandra dysantha","Calliandra dysantha","National Center for Biotechnology Information",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra eriophylla",1,0,0,3.66e+12,28.95454198,28.95454198,0,0,"Calliandra eriophylla","Calliandra eriophylla","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Calliandra erubescens",1,0,0,5.6e+11,-12.4751082,12.4751082,0,0,"Calliandra erubescens","Calliandra erubescens","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Calliandra foliolosa",1,1,2.12e+12,1.84e+12,-21.10263587,21.10263587,0,1,"Calliandra foliolosa","Calliandra foliolosa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra guildingii",1,0,0,3.59e+12,4.88333583,4.88333583,0,0,"Calliandra guildingii","Calliandra guildingii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra haematocephala",1,24,1.15e+13,1.62e+12,-10.22416617,10.22416617,0,2,"Calliandra haematocephala","Calliandra haematocephala","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,0,0,"N","N",0,NA,0
"Calliandra haematomma",1,0,0,2.19e+11,19.83942835,19.83942835,0,0,"Calliandra haematomma","Calliandra haematomma","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Calliandra haematomma",0
"Calliandra harrisii",1,1,2.44e+11,2.68e+12,-17.17276028,17.17276028,0,0,"Calliandra harrisii","Calliandra harrisii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra houstoniana",1,7,2.18e+12,2.87e+12,14.78757483,14.78757483,0,2,"Calliandra houstoniana","Calliandra houstoniana","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra humilis",0,0,0,3.25e+12,28.40957984,28.40957984,0,0,"Calliandra humilis","Calliandra humilis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra juzepczukii",1,0,0,2.26e+12,20.5299998,20.5299998,0,0,"Calliandra juzepczukii","Calliandra juzepczukii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra macrocalyx",1,0,0,8.47e+12,-10.77227947,10.77227947,0,0,"Calliandra macrocalyx","Calliandra macrocalyx","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra parviflora",1,0,0,4.19e+12,-12.78273705,12.78273705,0,0,"Calliandra parviflora","Calliandra parviflora","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra parvifolia",0,0,0,6.21e+12,-20.17761344,20.17761344,0,0,"Calliandra parvifolia","Calliandra parvifolia","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,1,"Y","Y",0,NA,0
"Calliandra physocalyx",1,0,0,2.02e+12,21.5410044,21.5410044,0,0,"Calliandra physocalyx","Calliandra physocalyx","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra pittieri",1,0,0,2.37e+12,5.17427164,5.17427164,0,0,"Calliandra pittieri","Calliandra pittieri","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra rubescens",1,0,0,2.25e+12,18.52968809,18.52968809,0,0,"Calliandra rubescens","Calliandra rubescens","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra surinamensis",1,10,6.05e+12,1.56e+12,3.60896645,3.60896645,0,1,"Calliandra surinamensis","Calliandra surinamensis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra tergemina",1,3,2.93e+12,4.15e+12,12.30910672,12.30910672,0,0,"Calliandra tergemina","Calliandra tergemina","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calliandra trinervia",1,0,0,1.35e+13,3.11006132,3.11006132,0,0,"Calliandra trinervia","Calliandra trinervia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calophaca tianschanica",1,0,0,3.37e+12,43.79179118,43.79179118,0,0,"Calophaca tianschanica","Calophaca tianschanica","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calopogonium caeruleum",1,3,7e+11,1.65e+13,6.24566767,6.24566767,0,1,"Calopogonium caeruleum","Calopogonium caeruleum","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,1,1,0,"Y","N",1,"Calopogonium caeruleum",0
"Calpocalyx dinklagei",0,0,0,3.24e+12,-3.42005008,3.42005008,0,2,"Calpocalyx dinklagei","Calpocalyx dinklagei","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,3,2,1,"Y","Y",0,NA,0
"Calpurnia aurea",1,2,2.19e+12,1.83e+13,6.87526861,6.87526861,0,1,"Calpurnia aurea","Calpurnia aurea","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Calpurnia villosa",1,0,0,2.7e+12,-27.53376098,27.53376098,0,1,"Calpurnia villosa","Calpurnia villosa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
