"Phy","fixer","num_introduced","total_area_introduced","total_area_native","lat_native","abs_lat_native","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia"
"Bauhinia glauca",0,0,0,7.29e+12,13.78689831,13.78689831,0,0,"Bauhinia glauca","Bauhinia glauca","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia guianensis",0,0,0,1.4e+13,9.54852316,9.54852316,0,0,"Bauhinia guianensis","Bauhinia guianensis","Encyclopedia of Life",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Bauhinia integrifolia",0,0,0,3.6e+12,6.10745635,6.10745635,0,0,"Bauhinia integrifolia","Bauhinia integrifolia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia kockiana",0,0,0,3.53e+12,-0.05273851,0.05273851,0,0,"Bauhinia kockiana","Bauhinia kockiana","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia kunthiana",0,0,0,9.82e+12,-2.26645922,2.26645922,0,0,"Bauhinia kunthiana","Bauhinia kunthiana","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia longicuspis",0,0,0,1.18e+13,-5.4402685,5.4402685,0,0,"Bauhinia longicuspis","Bauhinia longicuspis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia longifolia",0,0,0,1.13e+13,-12.51530404,12.51530404,0,0,"Bauhinia longifolia","Bauhinia longifolia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia malabarica",0,0,0,1.63e+13,11.14204682,11.14204682,0,4,"Bauhinia malabarica","Bauhinia malabarica","Encyclopedia of Life",0.988,2,TRUE,TRUE,FALSE,FALSE,2,0,2,"N","Y",0,NA,0
"Bauhinia microstachya",0,0,0,8.72e+12,-6.11259475,6.11259475,0,0,"Bauhinia microstachya","Bauhinia microstachya","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia monandra",0,15,9.76e+12,5.93e+11,-19.37352737,19.37352737,0,1,"Bauhinia monandra","Bauhinia monandra","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia multinervia",0,0,0,1.06e+12,5.6227624,5.6227624,0,0,"Bauhinia multinervia","Bauhinia multinervia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia ornata",0,0,0,2.79e+12,21.3796455,21.3796455,0,0,"Bauhinia ornata","Bauhinia ornata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Bauhinia pauletia",0,0,0,NA,NA,NA,0,0,"Bauhinia pauletia","Bauhinia pauletia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Bauhinia pauletia",0
"Bauhinia pentandra",0,0,0,NA,NA,NA,0,0,"Bauhinia pentandra","Bauhinia pentandra","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia petersiana",0,1,82436185963,1.06e+13,-18.58533779,18.58533779,0,0,"Bauhinia petersiana","Bauhinia petersiana","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,3,3,0,"Y","N",0,NA,0
"Bauhinia picta",0,0,0,NA,NA,NA,0,0,"Bauhinia picta","Bauhinia picta","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia pottsii",0,0,0,4.75e+12,4.51022825,4.51022825,0,1,"Bauhinia pottsii","Bauhinia pottsii","National Center for Biotechnology Information",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia pulchella",1,0,0,8.47e+12,-10.77227947,10.77227947,0,0,"Bauhinia pulchella","Bauhinia pulchella","National Center for Biotechnology Information",0.988,2,TRUE,TRUE,FALSE,FALSE,1,0,0,"N","N",0,NA,0
"Bauhinia purpurea",0,29,2.23e+13,1.71e+13,22.93860321,22.93860321,0,9,"Bauhinia purpurea","Bauhinia purpurea","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia racemosa",1,6,3.09e+12,7.67e+12,18.96431775,18.96431775,0,5,"Bauhinia racemosa","Bauhinia racemosa","National Center for Biotechnology Information",0.988,2,TRUE,TRUE,FALSE,FALSE,4,4,0,"Y","N",0,NA,0
"Bauhinia reticulata",0,0,0,1.04e+13,10.97914428,10.97914428,0,0,"Bauhinia reticulata","Bauhinia reticulata","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia rufa",1,0,0,8.47e+12,-10.77227947,10.77227947,0,0,"Bauhinia rufa","Bauhinia rufa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,2,1,1,"Y","Y",1,"Bauhinia rufa",0
"Bauhinia rufescens",0,4,2.88e+12,9.9e+12,14.34085223,14.34085223,0,6,"Bauhinia rufescens","Bauhinia rufescens","National Center for Biotechnology Information",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia scandens",0,0,0,1.65e+13,14.67947442,14.67947442,0,2,"Bauhinia scandens","Bauhinia scandens","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia tomentosa",0,26,1.47e+13,1.62e+13,10.41925216,10.41925216,0,6,"Bauhinia tomentosa","Bauhinia tomentosa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,2,0,0,"N","N",0,NA,0
"Bauhinia ungulata",0,1,328505238.2,1.07e+13,-7.8624843,7.8624843,0,0,"Bauhinia ungulata","Bauhinia ungulata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Bauhinia ungulata",0
"Bauhinia vahlii",1,3,2.4e+12,6.28e+12,26.1027335,26.1027335,0,5,"Bauhinia vahlii","Bauhinia vahlii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bauhinia variegata",0,27,2.57e+13,1.48e+13,24.00862671,24.00862671,0,6,"Bauhinia variegata","Bauhinia variegata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,4,3,0,"Y","N",0,NA,0
"Bergeronia sericea",1,0,0,NA,NA,NA,0.125,0,"Bergeronia sericea","Bergeronia sericea","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Berlinia bracteosa",0,0,0,5.23e+12,0.2945389,0.2945389,0,1,"Berlinia bracteosa","Berlinia bracteosa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,3,0,3,"N","Y",0,NA,0
"Berlinia craibiana",0,0,0,5.2e+12,0.33400637,0.33400637,0,1,"Berlinia craibiana","Berlinia craibiana","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,2,0,2,"N","Y",0,NA,0
"Berlinia grandiflora",0,0,0,8.14e+12,4.96456072,4.96456072,0,1,"Berlinia grandiflora","Berlinia grandiflora","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bituminaria acaulis",1,0,0,5.45e+12,47.27798575,47.27798575,0,2,"Bituminaria acaulis","Bituminaria acaulis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bituminaria bituminosa",1,2,1.32e+11,7.97e+12,37.79856088,37.79856088,0,2,"Bituminaria bituminosa","Bituminaria bituminosa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bobgunnia madagascariensis",1,1,1.47e+11,1.55e+13,-8.00369318,8.00369318,0,3,"Bobgunnia madagascariensis","Bobgunnia madagascariensis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bocoa mollis",0,0,0,1.45e+12,-8.65561203,8.65561203,0,0,"Bocoa mollis","Bocoa mollis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bolusanthus speciosus",1,5,3.68e+12,5.31e+12,-21.46859611,21.46859611,0,3,"Bolusanthus speciosus","Bolusanthus speciosus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bolusia amboensis",1,0,0,2.13e+12,-19.22410019,19.22410019,0,0,"Bolusia amboensis","Bolusia amboensis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bolusia rhodesiana",1,0,0,4.17e+12,-11.28576352,11.28576352,0,0,"Bolusia rhodesiana","Bolusia rhodesiana","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bossiaea aquifolium",1,0,0,2.53e+12,-25.46607155,25.46607155,0,0,"Bossiaea aquifolium","Bossiaea aquifolium","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,3,3,0,"Y","N",0,NA,0
"Bossiaea bossiaeoides",1,0,0,5.61e+12,-23.16077529,23.16077529,0,0,"Bossiaea bossiaeoides","Bossiaea bossiaeoides","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,2,2,0,"Y","N",0,NA,0
"Bossiaea buxifolia",1,0,0,2.76e+12,-26.80239184,26.80239184,0,0,"Bossiaea buxifolia","Bossiaea buxifolia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bossiaea cinerea",1,0,0,2.08e+12,-36.84160801,36.84160801,0,0,"Bossiaea cinerea","Bossiaea cinerea","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bossiaea dentata",1,0,0,2.53e+12,-25.46607155,25.46607155,0,0,"Bossiaea dentata","Bossiaea dentata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bossiaea ensata",1,0,0,3.81e+12,-34.81475557,34.81475557,0,0,"Bossiaea ensata","Bossiaea ensata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bossiaea eriocarpa",1,0,0,2.53e+12,-25.46607155,25.46607155,0,0,"Bossiaea eriocarpa","Bossiaea eriocarpa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Bossiaea foliosa",1,0,0,1.03e+12,-33.25127933,33.25127933,0,1,"Bossiaea foliosa","Bossiaea foliosa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bossiaea heterophylla",1,0,0,2.76e+12,-26.80239184,26.80239184,0,1,"Bossiaea heterophylla","Bossiaea heterophylla","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bossiaea linophylla",1,0,0,2.53e+12,-25.46607155,25.46607155,0,1,"Bossiaea linophylla","Bossiaea linophylla","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bossiaea ornata",1,0,0,2.53e+12,-25.46607155,25.46607155,0,0,"Bossiaea ornata","Bossiaea ornata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,3,3,0,"Y","N",0,NA,0
"Bossiaea preissii",1,0,0,2.53e+12,-25.46607155,25.46607155,0,0,"Bossiaea preissii","Bossiaea preissii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bossiaea prostrata",1,0,0,3.81e+12,-34.81475557,34.81475557,0,0,"Bossiaea prostrata","Bossiaea prostrata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Bossiaea pulchella",1,0,0,2.53e+12,-25.46607155,25.46607155,0,1,"Bossiaea pulchella","Bossiaea pulchella","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bossiaea walkeri",1,0,0,4.54e+12,-28.33581319,28.33581319,0,0,"Bossiaea walkeri","Bossiaea walkeri","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bossiaea webbii",1,0,0,2.53e+12,-25.46607155,25.46607155,0,0,"Bossiaea webbii","Bossiaea webbii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bowdichia nitida",1,0,0,3.04e+12,-6.38165932,6.38165932,0,0,"Bowdichia nitida","Bowdichia nitida","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bowdichia virgilioides",1,0,0,1.13e+13,-5.92922206,5.92922206,0,0,"Bowdichia virgilioides","Bowdichia virgilioides","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Brachysema aphyllum",1,0,0,2.53e+12,-25.46607155,25.46607155,0,0,"Brachysema aphyllum","Brachysema aphyllum","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Brachysema sericeum",1,0,0,2.53e+12,-25.46607155,25.46607155,0,0,"Brachysema sericeum","Brachysema sericeum","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Brachystegia allenii",0,0,0,5.31e+12,-8.62899687,8.62899687,0,0,"Brachystegia allenii","Brachystegia allenii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Brachystegia boehmii",0,0,0,7.13e+12,-10.42992091,10.42992091,0,0,"Brachystegia boehmii","Brachystegia boehmii","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,5,0,5,"N","Y",0,NA,0
"Brachystegia bussei",0,0,0,5.31e+12,-8.62899687,8.62899687,0,0,"Brachystegia bussei","Brachystegia bussei","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,3,0,3,"N","Y",0,NA,0
"Brachystegia cynometroides",0,0,0,4.65e+11,5.68579633,5.68579633,0,1,"Brachystegia cynometroides","Brachystegia cynometroides","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,0,1,"N","Y",0,NA,0
"Brachystegia floribunda",0,0,0,6.17e+12,-8.69902448,8.69902448,0,1,"Brachystegia floribunda","Brachystegia floribunda","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,2,0,2,"N","Y",0,NA,0
"Brachystegia glaberrima",0,0,0,4.02e+12,-5.68462619,5.68462619,0,0,"Brachystegia glaberrima","Brachystegia glaberrima","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Brachystegia glaucescens",0,0,0,7.52e+11,-13.45307891,13.45307891,0,0,"Brachystegia glaucescens","Brachystegia glaucescens","National Center for Biotechnology Information",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Brachystegia laurentii",0,0,0,3.05e+12,0.28098821,0.28098821,0,1,"Brachystegia laurentii","Brachystegia laurentii","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,2,0,2,"N","Y",0,NA,0
"Brachystegia manga",0,0,0,5.31e+12,-8.62899687,8.62899687,0,0,"Brachystegia manga","Brachystegia manga","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Brachystegia microphylla",0,0,0,4.93e+12,-7.77526861,7.77526861,0,0,"Brachystegia microphylla","Brachystegia microphylla","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,4,0,4,"N","Y",0,NA,0
"Brachystegia taxifolia",0,0,0,4.14e+12,-5.90397234,5.90397234,0,0,"Brachystegia taxifolia","Brachystegia taxifolia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Brachystegia utilis",0,0,0,6.56e+12,-9.33357325,9.33357325,0,0,"Brachystegia utilis","Brachystegia utilis","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,2,0,2,"N","Y",0,NA,0
"Brachystegia wangermeeana",0,0,0,5.26e+12,-7.27110165,7.27110165,0,0,"Brachystegia wangermeeana","Brachystegia wangermeeana","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Brodriguesia santosii",0,0,0,5.6e+11,-12.4751082,12.4751082,0,0,"Brodriguesia santosii","Brodriguesia santosii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Brownea ariza",0,5,2.92e+12,2.12e+12,5.65212555,5.65212555,0,2,"Brownea ariza","Brownea ariza","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,1,0,0,"N","N",1,"Brownea grandiceps",0
"Brownea longipedicellata",0,0,0,NA,NA,NA,0,0,"Brownea longipedicellata","Brownea longipedicellata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Brya ebenus",1,4,4.3e+11,1.21e+11,19.88572709,19.88572709,0,2,"Brya ebenus","Brya ebenus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Brya microphylla",1,0,0,NA,NA,NA,0,0,"Brya microphylla","Brya microphylla","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Bryaspis lupulina",1,0,0,5.48e+11,11.71073793,11.71073793,1,0,"Bryaspis lupulina","Bryaspis lupulina","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Butea monosperma",1,5,1.08e+12,1.15e+13,17.34901023,17.34901023,0,9,"Butea monosperma","Butea monosperma","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,3,3,0,"Y","N",0,NA,0
"Cadia ellisiana",1,0,0,5.93e+11,-19.37352737,19.37352737,0,1,"Cadia ellisiana","Cadia ellisiana","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Cadia purpurea",1,0,0,5.32e+12,14.84365695,14.84365695,0,0,"Cadia purpurea","Cadia purpurea","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caesalpinia angolensis",0,0,0,6.85e+12,1.29959326,1.29959326,0,0,"Caesalpinia angolensis","Caesalpinia angolensis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caesalpinia benthamiana",0,0,0,2.3e+12,9.40600283,9.40600283,0,1,"Caesalpinia benthamiana","Caesalpinia benthamiana","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caesalpinia bonduc",0,5,5.22e+12,3e+13,6.28062328,6.28062328,0,4,"Caesalpinia bonduc","Caesalpinia bonduc","Encyclopedia of Life",0.988,2,TRUE,TRUE,FALSE,FALSE,1,0,0,"N","N",0,NA,0
"Caesalpinia cacalaco",0,1,82436185963,NA,NA,NA,0,0,"Caesalpinia cacalaco","Caesalpinia cacalaco","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caesalpinia crista",0,1,2055545262,1.65e+13,8.18472976,8.18472976,0,4,"Caesalpinia crista","Caesalpinia crista","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,1,1,0,"Y","N",1,"Caesalpinia crista",0
"Caesalpinia cucullata",0,1,9.41e+11,7.4e+12,13.42907631,13.42907631,0,1,"Caesalpinia cucullata","Caesalpinia cucullata","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caesalpinia decapetala",0,14,1.84e+13,1.55e+13,16.79714169,16.79714169,0,5,"Caesalpinia decapetala","Caesalpinia decapetala","Freebase",0.988,2,TRUE,TRUE,FALSE,FALSE,2,2,1,"Y","Y",0,NA,0
"Caesalpinia echinata",0,0,0,8.47e+12,-10.77227947,10.77227947,0,0,"Caesalpinia echinata","Caesalpinia echinata","Freebase",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Caesalpinia eriostachys",0,0,0,6.86e+11,16.00816232,16.00816232,0,0,"Caesalpinia eriostachys","Caesalpinia eriostachys","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Caesalpinia exostemma",0,0,0,7.24e+11,17.15175011,17.15175011,0,0,"Caesalpinia exostemma","Caesalpinia exostemma","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caesalpinia ferrea",0,5,6.07e+12,8.61e+12,-3.36637458,3.36637458,0,1,"Caesalpinia ferrea","Caesalpinia ferrea","Encyclopedia of Life",0.988,2,TRUE,TRUE,FALSE,TRUE,4,4,0,"Y","N",1,"Libidibia ferrea",0
"Caesalpinia gilliesii",0,20,2.35e+13,3.53e+12,-35.92185421,35.92185421,0,1,"Caesalpinia gilliesii","Caesalpinia gilliesii","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,5,5,0,"Y","N",1,"Caesalpinia gilliesii",0
"Caesalpinia latisiliqua",0,0,0,4.1e+12,1.84676251,1.84676251,0,0,"Caesalpinia latisiliqua","Caesalpinia latisiliqua","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caesalpinia leiostachya",0,0,0,3.9e+11,-19.00000691,19.00000691,0,0,"Caesalpinia leiostachya","Caesalpinia leiostachya","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caesalpinia mexicana",0,2,6.32e+11,1.6e+12,28.82805739,28.82805739,0,0,"Caesalpinia mexicana","Caesalpinia mexicana","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caesalpinia paraguariensis",0,0,0,4.27e+12,-26.94705186,26.94705186,0,1,"Caesalpinia paraguariensis","Cæsalpinia paraguariensis","Freebase",0.988,2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caesalpinia pluviosa",0,0,0,8.47e+12,-10.77227947,10.77227947,0,0,"Caesalpinia pluviosa","Caesalpinia pluviosa","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Caesalpinia pyramidalis",0,0,0,8.47e+12,-10.77227947,10.77227947,0,0,"Caesalpinia pyramidalis","Caesalpinia pyramidalis","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
