Phy,total.area.introduced,Stratum,LogArea.introduced
Gnamptogenys_regularis,244186.791,Epigaeic,5.387722168
Gnamptogenys_striatula,78474.75762,Epigaeic,4.894729983
Gnamptogenys_triangularis,1170950.093,Epigaeic,6.068538385
Hypoponera_boerorum,313856.6821,Epigaeic & Hypogaeic,5.496731379
Hypoponera_confinis,286946.6192,Epigaeic & Hypogaeic,5.457801112
Hypoponera_eduardi,6850463.316,Epigaeic & Hypogaeic,6.835719945
Hypoponera_elliptica,17066.06439,Epigaeic & Hypogaeic,4.23213338
Hypoponera_ergatandria,6818602.032,Epigaeic & Hypogaeic,6.833695344
Hypoponera_gibbinota,244186.791,Epigaeic & Hypogaeic,5.387722168
Hypoponera_opaciceps,7302265.564,Epigaeic & Hypogaeic,6.863457623
Hypoponera_opaciceps pampana,1912984.123,Epigaeic & Hypogaeic,6.281711366
Hypoponera_opacior,343759.2116,Epigaeic & Hypogaeic,5.536254345
Hypoponera_punctatissima,33600798,Epigaeic & Hypogaeic,7.526349592
Hypoponera_punctatissima indifferens,593087.2472,Epigaeic & Hypogaeic,5.773118586
Hypoponera_ragusai,14986842.48,Epigaeic & Hypogaeic,7.175710143
Hypoponera_trigona,168.5467547,Epigaeic & Hypogaeic,2.226720395
Hypoponera_zwaluwenburgi,16654.44205,Epigaeic & Hypogaeic,4.221530088
Iridomyrmex_anceps,2440200.255,Epigaeic,6.387425468
Iridomyrmex_chasei,268475.548,Epigaeic,5.428904738
Iridomyrmex_cyaneus,268475.548,Epigaeic,5.428904738
Iridomyrmex_minor,41.57126669,Epigaeic,1.618793258
Iridomyrmex_purpureus,268475.548,Epigaeic,5.428904738
Iridomyrmex_rufoniger,268475.548,Epigaeic,5.428904738
Iridomyrmex_suchieri,268517.1193,Epigaeic,5.428971979
Iridomyrmex_victorianus,268475.548,Epigaeic,5.428904738
Lasius_alienus,335616.0458,Epigaeic & Hypogaeic,5.525842716
Lasius_americanus,16654.44205,Epigaeic & Hypogaeic,4.221530088
Lasius_citrinus,8316.99827,Epigaeic & Hypogaeic,3.919966611
Lasius_emarginatus,229607.8084,Epigaeic & Hypogaeic,5.360986653
Lasius_flavus,285129.9901,Epigaeic & Hypogaeic,5.455042899
Lasius_fuliginosus,16654.44205,Epigaeic & Hypogaeic,4.221530088
Lasius_grandis,1227807.944,Epigaeic & Hypogaeic,6.089130439
Lasius_interjectus,16654.44205,Epigaeic & Hypogaeic,4.221530088
Lasius_japonicus,38429.87469,Epigaeic & Hypogaeic,4.584668968
Lasius_lasioides,279794.135,Epigaeic & Hypogaeic,5.446838607
Lasius_neglectus,8406546.952,Epigaeic & Hypogaeic,6.924617643
Lasius_neoniger,318961.6037,Epigaeic & Hypogaeic,5.503738406
Lasius_niger,8801050.688,Epigaeic & Hypogaeic,6.944534522
Lasius_productus,36261.8317,Epigaeic & Hypogaeic,4.559449738
Lasius_sakagamii,37882.5721,Epigaeic & Hypogaeic,4.578439458
Lepisiota_bipartita,4576.449391,Epigaeic,3.660528664
Lepisiota_canescens,593087.2472,Epigaeic,5.773118586
Lepisiota_capensis,638222.0359,Epigaeic,5.804971795
Lepisiota_frauenfeldi,4466964.948,Epigaeic,6.650012545
Lepisiota_frauenfeldi kantarensis,7482.254468,Epigaeic,3.874032474
Lepisiota_incisa,318961.6037,Epigaeic,5.503738406
Lepisiota_nigra,539465.9732,Epigaeic,5.731964057
Lepisiota_obtusa,35607.34397,Epigaeic,4.55153958
Lepisiota_spinisquama,3829.644984,Epigaeic,3.583158516
Lepisiota_syriaca,129677.6643,Epigaeic,5.11286518
Leptogenys_falcigera,1664857.9,Epigaeic & Hypogaeic,6.221377171
Leptogenys_maxillosa,5488246.072,Epigaeic & Hypogaeic,6.739433575
Leptogenys_pavesii,596282.0064,Epigaeic & Hypogaeic,5.775451704
Leptomyrmex_wiburdi,268475.548,Arboreal,5.428904738
Linepithema_angulatum,361829.0174,Epigaeic,5.558503393
Linepithema_dispertitum,35607.34397,Epigaeic,4.55153958
Linepithema_humile,31740940.55,Epigaeic,7.501619792
Linepithema_iniquum,1784065.494,Epigaeic,6.251410794
Linepithema_leucomelas,83976.57525,Epigaeic,4.924158159
Linepithema_micans,21266.38548,Epigaeic,4.327693682
Liometopum_microcephalum,268475.548,Epigaeic,5.428904738
Lioponera_longitarsus,13996541.01,Arboreal & Epigaeic & Hypogaeic,7.146020721
Mayriella_abstinens,268475.548,Arboreal & Epigaeic & Hypogaeic,5.428904738
Mayriella_spinosior,268475.548,Arboreal & Epigaeic & Hypogaeic,5.428904738
Melophorus_hirsutus,268475.548,Epigaeic,5.428904738
Meranoplus_bicolor,387980.124,Epigaeic & Hypogaeic,5.588809478
Meranoplus_castaneus,35607.34397,Epigaeic & Hypogaeic,4.55153958
Meranoplus_minor,14.34586733,Epigaeic & Hypogaeic,1.15672681
Mesoponera_testacea,620109.419,Epigaeic,5.792468328
Messor_capitatus,2876308.693,Epigaeic,6.458835494
Messor_lusitanicus,403453.0567,Epigaeic,5.60579301
Messor_minor,7482.254468,Epigaeic,3.874032474
Messor_structor,1403002.92,Epigaeic,6.147058575
Monomorium_andrei,5092.681198,Arboreal & Epigaeic,3.70694649
Monomorium_atomum,3829.644984,Arboreal & Epigaeic,3.583158516
Monomorium_atomum cooperi,998732.739,Arboreal & Epigaeic,5.999449287
Monomorium_bicolor,1083298.887,Arboreal & Epigaeic,6.034748297
Monomorium_carbonarium,5930709.571,Arboreal & Epigaeic,6.773106657
Monomorium_clavicorne,2026646.168,Arboreal & Epigaeic,6.306777932
Monomorium_dichroum,707909.464,Arboreal & Epigaeic,5.849977718
Monomorium_exiguum,8922.326182,Arboreal & Epigaeic,3.950478096
Monomorium_fieldi,268475.548,Arboreal & Epigaeic,5.428904738
Monomorium_floricola,34612723.34,Arboreal & Epigaeic,7.539235771
Monomorium_holothir,1955714.508,Arboreal & Epigaeic,6.291305457
Monomorium_indicum,356061.6506,Arboreal & Epigaeic,5.551525201
Monomorium_intrudens,2718297.832,Arboreal & Epigaeic,6.434297039
Monomorium_liliuokalanii,72563.79075,Arboreal & Epigaeic,4.860719962
Monomorium_minimum,52261.78602,Arboreal & Epigaeic,4.718184247
Monomorium_monomorium,9630461.58,Arboreal & Epigaeic,6.983647103
Monomorium_pharaonis,80340839.6,Arboreal & Epigaeic,7.904936366
Monomorium_salomonis,2132134.587,Arboreal & Epigaeic,6.328814615
Monomorium_subopacum,3447111.983,Arboreal & Epigaeic,6.537455392
Monomorium_sydneyense,268475.548,Arboreal & Epigaeic,5.428904738
Monomorium_trageri,674969.0881,Arboreal & Epigaeic,5.829283884
Myrmecia_brevinoda,268475.548,Epigaeic,5.428904738
Myrmecia_gulosa,268475.548,Epigaeic,5.428904738
Myrmecia_nigrocincta,268475.548,Epigaeic,5.428904738
Myrmelachista_ramulorum,147120.3924,Arboreal,5.167672875
Myrmica_kotokui,1620.740403,Epigaeic,3.209713459
Myrmica_lobulicornis,7482.254468,Epigaeic,3.874032474
Myrmica_punctiventris,39.41308581,Epigaeic,1.595640439
Myrmica_rubra,4804506.389,Epigaeic,6.681648775
Myrmica_rubra neolaevinodis,136998.277,Epigaeic,5.136715105
Myrmica_ruginodis,268475.548,Epigaeic,5.428904738
Myrmica_scabrinodis,945150.2538,Epigaeic,5.975500855
Myrmica_specioides,1119448.392,Epigaeic,6.049004077
Myrmicaria_natalensis,35607.34397,Arboreal & Epigaeic,4.55153958
Myrmoteras_indicum,70931.66059,Epigaeic,4.850840127
Neoponera_theresiae,244186.791,Arboreal & Epigaeic,5.387722168
Neoponera_unidentata,78474.75762,Arboreal & Epigaeic,4.894729983
Nesomyrmex_echinatinodis,35607.34397,Arboreal,4.55153958
Notoncus_ectatommoides,268475.548,Epigaeic,5.428904738
Nylanderia_amia,159207.9456,Epigaeic,5.201964738
Nylanderia_bourbonica,7846536.441,Epigaeic,6.894677996
Nylanderia_braueri,244186.791,Epigaeic,5.387722168
Nylanderia_braueri donisthorpei,244186.791,Epigaeic,5.387722168
Nylanderia_clandestina,17385.43675,Epigaeic,4.240185605
Nylanderia_flavipes,4489916.27,Epigaeic,6.652238242
Nylanderia_fulva,8375735.834,Epigaeic,6.923022971
Nylanderia_glabrior,272989.6426,Epigaeic,5.43614617
Nylanderia_guatemalensis,1191562.268,Epigaeic,6.076116742
Nylanderia_guatemalensis itinerans,96084.33194,Epigaeic,4.982652575
Nylanderia_jaegerskioeldi,6879679.623,Epigaeic,6.837568214
Nylanderia_parvula,16654.44205,Epigaeic,4.221530088
Nylanderia_pubens,504211.1288,Epigaeic,5.702612427
Nylanderia_sharpii,16654.44205,Epigaeic,4.221530088
Nylanderia_steinheili,1042401.21,Epigaeic,6.018034907
Nylanderia_tasmaniensis,268475.548,Epigaeic,5.428904738
Nylanderia_vaga,1621335.401,Epigaeic,6.209872865
Nylanderia_vividula,17981029.34,Epigaeic,7.25481455
Ochetellus_glaber,1737746.4,Arboreal & Epigaeic,6.239986397
Ochetellus_glaber clarithorax,147120.3924,Arboreal & Epigaeic,5.167672875
Ochetellus_vinsoni,4576.449391,Arboreal & Epigaeic,3.660528664
Odontomachus_bauri,7801.23693,Epigaeic,3.892163468
Odontomachus_brunneus,35607.34397,Epigaeic,4.55153958
Odontomachus_haematodus,2849778.806,Epigaeic,6.454811152
Odontomachus_monticola,35607.34397,Epigaeic,4.55153958
Odontomachus_ruginodis,582470.3832,Epigaeic,5.765273848
Odontomachus_simillimus,687782.6762,Epigaeic,5.837451233
Odontomachus_troglodytes,593573.4792,Epigaeic,5.773474488
Oecophylla_longinoda,35607.34397,Arboreal,4.55153958
Oecophylla_smaragdina,383212.1373,Arboreal,5.583439256
Ooceraea_biroi,3866236.712,Hypogaeic,6.58728844
Orectognathus_antennatus,268475.548,Arboreal & Epigaeic,5.428904738
Pachycondyla_harpax,171088.36,Epigaeic,5.233220463
Pachycondyla_solitaria,16654.44205,Epigaeic,4.221530088
Paraparatrechina_minutula,288635.8931,Epigaeic,5.460350336
Parasyscia_sylvicola,486.231921,Arboreal & Epigaeic,2.686843467
Paratrechina_longicornis,73801049.81,Epigaeic,7.86806254
Parvaponera_darwinii,27354.56053,Hypogaeic,4.437029742
Pheidole_anastasii,4076731.353,Epigaeic,6.610312093
Pheidole_barbata,16654.44205,Epigaeic,4.221530088
Pheidole_bilimeki,2005685.553,Epigaeic,6.302262846
Pheidole_dentata,35607.34397,Epigaeic,4.55153958
Pheidole_dossena,35607.34397,Epigaeic,4.55153958
Pheidole_fervens,3227384.279,Epigaeic,6.508850679
Pheidole_fervida,16654.44205,Epigaeic,4.221530088
Pheidole_flavens,831286.052,Epigaeic,5.919750494
Pheidole_gertrudae,244186.791,Epigaeic,5.387722168
Pheidole_guineensis,82177.57232,Epigaeic,4.914753307
Pheidole_harrisonfordi,35607.34397,Epigaeic,4.55153958
Pheidole_hyatti,16654.44205,Epigaeic,4.221530088
Pheidole_indica,18451964.59,Epigaeic,7.266042613
Pheidole_lamellinoda,3829.644984,Epigaeic,3.583158516
Pheidole_longiscapa,35607.34397,Epigaeic,4.55153958
Pheidole_megacephala,34570439.04,Epigaeic,7.538704895
Pheidole_moerens,128076.6515,Epigaeic,5.107469965
Pheidole_navigans,2372129.867,Epigaeic,6.375138462
Pheidole_nodus,554992.5363,Epigaeic,5.744287143
Pheidole_obscurithorax,1362395.824,Epigaeic,6.134303304
Pheidole_oceanica,268475.548,Epigaeic,5.428904738
Pheidole_pallidula,763138.5595,Epigaeic,5.882603398
Pheidole_parva,2786577.894,Epigaeic,6.445071188
Pheidole_proxima,268475.548,Epigaeic,5.428904738
Pheidole_pubiventris,119504.576,Epigaeic,5.077384535
Pheidole_punctatissima,952185.4919,Epigaeic,5.97872156
Pheidole_punctulata,244186.791,Epigaeic,5.387722168
Pheidole_radoszkowskii,35607.34397,Epigaeic,4.55153958
Pheidole_rugosula,268475.548,Epigaeic,5.428904738
Pheidole_sculpturata welgelegenensis,244186.791,Epigaeic,5.387722168
Pheidole_sexspinosa,268475.548,Epigaeic,5.428904738
Pheidole_sospes,147120.3924,Epigaeic,5.167672875
Pheidole_subarmata,35607.34397,Epigaeic,4.55153958
Pheidole_susannae,110982.2442,Epigaeic,5.045253503
Pheidole_umbonata,268475.548,Epigaeic,5.428904738
Pheidole_vafra,35607.34397,Epigaeic,4.55153958
Pheidole_variabilis,268475.548,Epigaeic,5.428904738
Pheidole_vigilans,1309688.094,Epigaeic,6.117167879
Plagiolepis_alluaudi,18407929.19,Epigaeic,7.265004935
Plagiolepis_exigua,5968984.895,Epigaeic,6.77590048
Plagiolepis_pallescens,354568.9477,Epigaeic,5.549700698
Plagiolepis_pygmaea,354568.9477,Epigaeic,5.549700698
Plagiolepis_schmitzii,1176662.927,Epigaeic,6.07065207
Platythyrea_parallela,294112.5652,Arboreal,5.468513579
Platythyrea_punctata,951977.5529,Arboreal,5.978626708
Pogonomyrmex_occidentalis,16654.44205,Epigaeic,4.221530088
Polyrhachis_ammon,268475.548,Arboreal & Epigaeic,5.428904738
Polyrhachis_atropos,268475.548,Arboreal & Epigaeic,5.428904738
Polyrhachis_dives,53411.35494,Arboreal & Epigaeic,4.727633595
Polyrhachis_erato,268475.548,Arboreal & Epigaeic,5.428904738
Polyrhachis_femorata,285129.9901,Arboreal & Epigaeic,5.455042899
Polyrhachis_hector,268475.548,Arboreal & Epigaeic,5.428904738
Polyrhachis_nigrita,35607.34397,Arboreal & Epigaeic,4.55153958
Polyrhachis_rastellata,7399.97179,Arboreal & Epigaeic,3.869230064
Polyrhachis_rufifemur,268475.548,Arboreal & Epigaeic,5.428904738
Polyrhachis_saevissima argentea,16654.44205,Arboreal & Epigaeic,4.221530088
Polyrhachis_semiaurata,268475.548,Arboreal & Epigaeic,5.428904738
Polyrhachis_thrinax,35607.34397,Arboreal & Epigaeic,4.55153958
Polyrhachis_trapezoidea,268475.548,Arboreal & Epigaeic,5.428904738
Ponera_bableti,1867.602345,Epigaeic & Hypogaeic,3.271284411
Ponera_coarctata,59521.85571,Epigaeic & Hypogaeic,4.774676463
Ponera_exotica,7107.871512,Epigaeic & Hypogaeic,3.851739569
Ponera_leae,285583.1837,Epigaeic & Hypogaeic,5.455732631
Ponera_loi,286279.559,Epigaeic & Hypogaeic,5.45679034
Ponera_swezeyi,1825025.354,Epigaeic & Hypogaeic,6.261268902
Ponera_testacea,318961.6037,Epigaeic & Hypogaeic,5.503738406
Prenolepis_imparis,285129.9901,Epigaeic,5.455042899
Prenolepis_melanogaster,16654.44205,Epigaeic,4.221530088
Prenolepis_nitens,279794.135,Epigaeic,5.446838607
Prionopelta_antillana,257340.4905,Epigaeic & Hypogaeic,5.410508124
Prionopelta_kraepelini,291836.02,Epigaeic & Hypogaeic,5.465138894
Pristomyrmex_punctatus,268475.548,Epigaeic,5.428904738
Pseudomyrmex_cubaensis,123744.5825,Arboreal,5.092526195
Pseudomyrmex_elongatus,147120.3924,Arboreal,5.167672875
Pseudomyrmex_gracilis,1517503.632,Arboreal,6.181129739
Pseudomyrmex_major,130831.5485,Arboreal,5.116712482
Pseudoponera_stigma,4047412.809,Epigaeic & Hypogaeic,6.607177502
Rhytidoponera_aspera,268475.548,Epigaeic,5.428904738
Rhytidoponera_chalybaea,268489.8939,Epigaeic,5.428927943
Rhytidoponera_mayri,268475.548,Epigaeic,5.428904738
Rhytidoponera_metallica,271453.8789,Epigaeic,5.433696052
Rhytidoponera_victoriae,268489.8939,Epigaeic,5.428927943
Rogeria_curvipubens,7801.23693,Epigaeic & Hypogaeic,3.892163468
Rogeria_exsulans,268475.548,Epigaeic & Hypogaeic,5.428904738
Rogeria_stigmatica,268475.548,Epigaeic & Hypogaeic,5.428904738
Solenopsis_abdita,2274676.111,Epigaeic & Hypogaeic,6.356919567
Solenopsis_aurea,268475.548,Epigaeic & Hypogaeic,5.428904738
Solenopsis_fugax,318961.6037,Epigaeic & Hypogaeic,5.503738406
Solenopsis_gayi,35607.34397,Epigaeic & Hypogaeic,4.55153958
Solenopsis_geminata,24046095.5,Epigaeic & Hypogaeic,7.381044568
Solenopsis_geminata micans,77393.12025,Epigaeic & Hypogaeic,4.888702356
Solenopsis_globularia,1138442.911,Epigaeic & Hypogaeic,6.056311257
Solenopsis_helena,264473.242,Epigaeic & Hypogaeic,5.422381739
Solenopsis_invicta,9968397.285,Epigaeic & Hypogaeic,6.998625338
Solenopsis_macdonaghi,1086714.65,Epigaeic & Hypogaeic,6.036115522
Solenopsis_molesta,268475.548,Epigaeic & Hypogaeic,5.428904738
