Ant domatium-bearing species,Family,References,Geography,Type of domatia,Confidence level,Notes
Macaranga puberula Heine,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga puncticulata Gage,Euphorbiaceae,Fiala and Maschwitz (1992); Moog et al (2003); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga rufescens S.J.Davies,Euphorbiaceae,Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga saccifera Pax,Euphorbiaceae,Bequaert (1922); Schnell and Grout de Beaufort (1966); McKey and Davidson (1993),"Tropical Africa, Central forest block",Stem domatia (trunk),High,
Macaranga schweinfurthii Pax,Euphorbiaceae,Bequaert (1922),"Tropical Africa, Central forest block",Stem domatia (trunk),High,
Macaranga trachyphylla Airy Shaw,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga umbrosa S.J.Davies,Euphorbiaceae,Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga velutina (Rchb.f. & Zoll.) Müll.Arg.,Euphorbiaceae,Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga velutiniflora S.J. Davies,Euphorbiaceae,Davies (1999; 2011),Sarawak,Stem domatia (trunk),High,
Macaranga winkleri Pax & Hoffm.,Euphorbiaceae,Fiala and Maschwitz (1992),Malaysia,Stem domatia (trunk),High,
Macaranga winkleriella Whitemore,Euphorbiaceae,Fiala and Maschwitz (1992),Malaysia,Stem domatia (trunk),High,
Macrolobium acaciifolium (Benth.) Benth.,Fabaceae-cesalpinioideae,"Ward (1991, 1999); Barnett et al. (2015)",Ecuador,Stem domatia - hollow stem inhabited by Pseudomyrmex viduus,Moderate,
Magnistipula bimarsupiata Letouzey,Chrysobalanaceae,Letouzey and White (1978); McKey and Davidson (1993),"Tropical Africa, Gabon",Leaf domatia - leaf margins curl downward,Moderate,
Maieta guianensis Aubl.,Melastomataceae,Michelangeli (2010); Dattilo et al. (2013),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Maieta neblinensis Wurdack,Melastomataceae,Michelangeli (2010),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Maieta poeppigii Mart. ex Cogn.,Melastomataceae,Michelangeli (2010),Neotropics,Leaf domatia - pouch domatia on the petiole or/and basal part of the leaf,High,
Markea formicarum Dammer,Solanaceae,Spruce (1908); Weber (1943); Knapp et al. (1997); Stehmann and Giacomin (2012),Neotropics,Stem domatia - swollen tuber-like stems,High,
Markea longiflora Miers,Solanaceae,Stehmann and Giacomin (2012),Neotropics,Stem domatia - swollen tuber-like stems,Moderate,
Markea panamensis Standl.,Solanaceae,Knapp et al. (1997); Stehmann and Giacomin (2012),Neotropics,Stem domatia - enlarged basal stems even in the absence of ant,Moderate,
Markea ulei (Dammer) Cuatrec.,Solanaceae,Spruce (1908); Davidson and Epsein (1989); Stehmann and Giacomin (2012),Neotropics,Stem domatia - swollen tuber-like stems,High,
Medinilla loheri Merrill/Medinilla disparifolia C.B.Rob.,Melastomataceae,Bequaert (1922); Jolivet (1996); Solereder (1920),"Luzon, Philippines",Leaf domatia,High,
Miconia bailloniana J.F. Macbr.,Melastomataceae,Michelangeli (2010),Neotropics: Peru,Stem domatia - swollen hollow twigs,High,
Miconia expansa Gleason,Melastomataceae,Michelangeli (2010),Neotropics: Peru,Stem domatia - swollen hollow twigs,High,
Miconia flaccida Gleason,Melastomataceae,Michelangeli (2010),Neotropics: Peru,Stem domatia - swollen hollow twigs,High,
Miconia hospitalis Wurdack,Melastomataceae,Michelangeli (2010),Neotropics: Peru,Stem domatia - swollen hollow twigs,High,
Mischocarpus paradoxus Radlk.,Sapindaceae,"M. Jebb pers. comm.; C.R. Huxley-Lambrick, pers. comm.",Papua New Guinea,Stem domatia but more data is needed to ensure it's not only secondarily inhabited as a result of stem borers,Moderate,
Myrcia madida McVaugh,Myrtaceae,Ferreira and de Vasconcelos (2010); Vicente et al. (2012),"Neotropics -Amazone - Brazil, Mato Grosso",Stem domatia  - slightly swollen hollow twigs,High,
Myristica euryocarpa Warburg,Myristicaceae,Warburg (1897); Halle (1968),SE Asia,"Stem domatia, but Warburg suggest this is not hereditary and instead ant-induced",Moderate,
Myristica heterophylla K. Schumm.,Myristicaceae,Warburg (1897); Halle (1968),SE Asia,"Stem domatia, but Warburg suggest this is not hereditary and instead ant-induced",Moderate,
Myristica subalulata Miq. (= M. Myrmecophila ),Myristicaceae,Huth (1886); Bequaert (1922); Warburg (1897); Halle (1968); Beccari (1884-6); Gullan et al. (1993); Jolivet (1996); Plowman et al. (2017),New Guinea,Stem domatia,Moderate,
Myrmecodia alata Becc.,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia albertisii Becc.,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia angustifolia Valeton,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia archboldiana Merr. & L.M.Perry,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia aureospina Huxley & Jebb,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia beccarii Hook.f.,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia brassii Merr. & L.M.Perry,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia erinacea Becc.,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia ferox Huxley & Jebb,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia gracilispina Huxley & Jebb,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia horrida Huxley & Jebb,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia jobiensis Becc.,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia kutubuensis Huxley & Jebb,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia lamii Merr. & L.M.Perry,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia longifolia Valeton,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia longissima Valeton,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia melanacantha Huxley & Jebb,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia oblongata Valeton,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia oksapminensis Huxley & Jebb,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia paradoxa Huxley & Jebb,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia pendens Merr. & L.M.Perry,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia platytyrea Becc.,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia pteroaspida Huxley & Jebb,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia salomonensis Becc.,Rubiaceae - Psychotriae - Hydnophytinae,"Chomicki and Renner (2017, PNAS).  M. salomonensis is a good species, not part of the tuberosa group; c.f. molecular phylogeny",Salomon Islands and Bougainville island,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia schlechteri Valeton,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia sterrophylla Merr. & L.M.Perry,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmecodia tuberosa Jack,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1993),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmeconauclea strigosa (Korth.) Merr.,Rubiaceae - Naucleeae,Bequaert (1922); Merrill (1920); Razafimandimbison et al. (2005),Borneo,Stem domatia - hollow internodal swellings near the end of the branches,High,
Myrmecophila brysiana (Lem.) G.C.Kenn.,Orchidaceae,Jones (1968); Carnevali et al. (2003),"Guatemala, Honduras, Trinidad, Cuba",Stem domatia  - swollen hollow pseudobulb,High,
Myrmecophila christinae Carnevali & Gómez-Juárez,Orchidaceae,Carnevali et al. (2003); Rico-Gray et al. (2004),"Mexico, Central America",Stem domatia  - swollen hollow pseudobulb,High,
Myrmecophila exaltata (Kraenzl.) G.C.Kenn.,Orchidaceae,Jones (1968); Carnevali et al. (2003),Guatemala,Stem domatia  - swollen hollow pseudobulb,High,
Myrmecophila galeottiana (A.Rich.) Rolfe,Orchidaceae,Jones (1968); Carnevali et al. (2003),Mexico,Stem domatia  - swollen hollow pseudobulb,High,
Myrmecophila grandiflora (Lindl.) Carnevali & J.L.Tapia & I.Ramírez,Orchidaceae,Jones (1968); Carnevali et al. (2003),Honduras,Stem domatia  - swollen hollow pseudobulb,High,
Myrmecophila humboldtii (Rchb.f.) Rolfe,Orchidaceae,"Carnevali et al., 2003",Neotropics,Stem domatia  - swollen hollow pseudobulb,High,
Myrmecophila thomsoniana (Rchb. f.) Rolfe,Orchidaceae,"Carnevali et al., 2003; Taxonomy: Rose-Smyth (2016); Morphology: http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166410-2#bibliography",Neotropics,Stem domatia  - swollen hollow pseudobulb,High,
Myrmecophila thomsoniana (Rchb.f.) Rolfe,Orchidaceae,Jones (1968); Carnevali et al. (2003),"Guatemala, Honduras, Trinidad, Barbados, Caymans",Stem domatia  - swollen hollow pseudobulb,HIgh,
Myrmecophila tibicinis (Bateman ex Lindl.) Rolfe (=Schomburgkia tibicinis),Orchidaceae,Mayr (1862); Huth (1886); Ross (1909); Step (1913); Bequaert (1922); Rico-Gray et al. (1989); Carnevali et al. (2003),"Mexico, Central America, Cuba, Hispaniola",Stem domatia  - swollen hollow pseudobulb,High,
Myrmecophila wendlandii (Rchb.f.) G.C.Kenn.,Orchidaceae,Jones (1968); Carnevali et al. (2003),"Guatemala, Honduras, Nicaragua",Stem domatia  - swollen hollow pseudobulb,High,
Myrmephytum arfakianum (Becc.) Huxley & Jebb,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1991b),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmephytum beccarii Elmer,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1991b),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmephytum moniliforme Huxley & Jebb,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1991b),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmephytum naumannii (Warb.) Huxley & Jebb,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1991b),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Myrmephytum selebicum (Becc.) Becc.,Rubiaceae - Psychotriae - Hydnophytinae,Huxley and Jebb (1991b),SE Asia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Nauclea vanderguchtii (De Wild.) E.M.A.Petit,Rubiaceae - Naucleeae,Razafimandimbison et al. (2005),"Tropical Africa, Central forest block",Stem domatia - hollow twigs,High,
Neonauclea artocarpoides Ridsdale,Rubiaceae - Naucleeae,Ridsdale (1989),North Borneo,Stem domatia - hollow twigs,High,
Neonauclea borneensis Ridsdale,Rubiaceae - Naucleeae,Ridsdale (1989),East-Central Borneo,Stem domatia - hollow twigs,High,
Neonauclea butonensis Ridsdale,Rubiaceae - Naucleeae,Ridsdale (1989),Celebes,Stem domatia - hollow twigs,High,
Neonauclea calcarea Ridsdale,Rubiaceae - Naucleeae,Ridsdale (1989),East Borneo,Stem domatia - hollow twigs,High,
Neonauclea celebica (Havil.) Merr.,Rubiaceae - Naucleeae,Ridsdale (1989); Razafimandimbison et al. (2005),Celebes (scattered collections from North to South of Sulawesi),Stem domatia - hollow twigs,High,
Neonauclea cyrtopoda (Miq.) Merr.,Rubiaceae - Naucleeae,Ridsdale (1989),"North and West Sumatra, Small Island close to West Sumatra",Stem domatia - hollow twigs,High,
Neonauclea excelsioides Ridsdale,Rubiaceae - Naucleeae,Ridsdale (1989),North and east Borneo,Stem domatia - hollow twigs,High,
Neonauclea formicaria (Elmer) Merr.,Rubiaceae - Naucleeae,Ridsdale (1989),"Philippines, from Center to South (no record in the North)",Stem domatia - hollow twigs,High,
Neonauclea gigantean (Valeton) Merr.,Rubiaceae - Naucleeae,Ridsdale (1989); Razafimandimbison et al. (2005),"Borneo (many collections in the North, and SW, none in south east)",Stem domatia - hollow twigs,High,
Neonauclea havilandii Koord. ex Ridsdale,Rubiaceae - Naucleeae,Ridsdale (1989),Celebes (scattered collections from North to South of Sulawesi),Stem domatia - hollow twigs,High,
Neonauclea kentii (Merr.) Merr.,Rubiaceae - Naucleeae,"Ridsdale (1989) says: ""Myrmedomes present vide Merrill but these not seen""",Extreme South West Celebes,Stem domatia - hollow twigs,Moderate,
Neonauclea lanceolata (Blume) Merr.,Rubiaceae,C.R. Huxley-Lambrick pers. comm.,SE Asia,Stem domatia - hollow twigs,High,
Neonauclea longipedunculata Merr.,Rubiaceae - Naucleeae,Razafimandimbison et al. (2005),SE Asia,Stem domatia - hollow twigs,High,
Neonauclea paracyrtopoda Bakh.f. & Ridsdale,Rubiaceae - Naucleeae,Razafimandimbison et al. (2005),North - NW Borneo,Stem domatia - hollow twigs,High,
Neonauclea pseudocalycina Ridsdale,Rubiaceae - Naucleeae,Ridsdale (1989),"North and Central Borneo, Small island close to North (east) Borneo",Stem domatia - hollow twigs,High,
Neonauclea rupestris Bakh.f. & Ridsdale,Rubiaceae - Naucleeae,Ridsdale (1989),Extreme South West Celebes,Stem domatia - hollow twigs,High,
Neonauclea superba (S.Moore) S.Moore,Rubiaceae - Naucleeae,Ridsdale (1989),Sumatra (scattered collections from North to South Sumatra),Stem domatia - hollow twigs,High,
Neonauclea unicapitulifera Ridsdale,Rubiaceae - Naucleeae,Ridsdale (1989),"South East Celebes, including small island in the south)",Stem domatia - hollow twigs,High,
Neonauclea ventricosa Ridsdale,Rubiaceae - Naucleeae,Ridsdale (1989),Celebes,Stem domatia - hollow twigs,High,
Nepenthes bicalcarata Hook.f.,Nepenthaceae,Beccari (1884); Thompson (1981); Bonhomme et al. (2011); the species form a specialized symbiosis with the ant Camponotus schmitzii (see e.g. Bonhomme et al. 2011),Malaysian region,Leaf domatia - hollow tendrils of the pitchers,High,
Notopleura epiphytica (K.Krause) C.M.Taylor (=Uragoga epiphytica),Rubiaceae,C.R. Huxley-Lambrick pers. comm.,West Africa,Stem domatia - hollow twigs,Moderate,
Ocotea atirrensis Mez & Donn.Sm. (= O. pedalifolia),Lauraceae,Van der Werff (1988); Stout (1979),Neotropics,Stem domatia - hollow twigs,High,
Ocotea dendrodaphne Mez,Lauraceae,Van der Werff (1988),Neotropics,Stem domatia - hollow twigs,High,
Ocotea javitensis (Kunth) Pittier,Lauraceae,Van der Werff (1988),Neotropics,Stem domatia - hollow twigs,High,
Ormosia macrophylla Benth.,Fabaceae - Faboideae,Rudd (1965); Benson (1985); Jolivet (1996),Neotropics,Stem domatia - hollow stems - details unknown,Moderate,
Ossaea bullifera (Pilg.) Gleason,Melastomataceae,Michelangeli (2010),Neotropics,"Leaf domatia - pouch at the apex of the petiole (leaves dimorphic, the larger one with domatia)",High,
Pachycentria constricta Blume,Melastomataceae,Clausing (1998); Kaufmann et al. (2001),"Malaya, Borneo",Root domatia - swollen root structures with hollow cavities,High,
Pachycentria glauca Triana,Melastomataceae,Clausing (1998); Kaufmann et al. (2001),Borneo,Root domatia - swollen root structures with hollow cavities,High,
Pachycentria maingayi J.F.Maxwell,Melastomataceae,Kaufmann et al. (2001),Malaya,Root domatia - swollen root structures with hollow cavities,Moderate,
Pachycentria microstyla Becc.,Melastomataceae,Beccari (1884); Ridley (1910); Shelford (1916); Bequaert (1922),SE Asia,Root domatia - swollen root structures with hollow cavities,Moderate,
Pachycentria tuberculata Korth. (=P. tuberosa),Melastomataceae,Beccari (1884); Ridley (1910),"SE Asia, Borneo",Root domatia - swollen root structures with hollow cavities,Moderate,
Palicourea corymbifera (Müll.Arg.) Standl.,Rubiaceae,Dattilo et al. (2013),Neotropics,Stem domatia - hollow stem,Moderate,Traits non studied - herbarium specimens shows no leaf domatia and apparently hollow stems but this requires further scrutiny
Patima formicaria Johnson,Rubiaceae,Schnell and Grout de Beaufort (1966); Delprete et al. (2005),South America,Stem domatia - swollen hollow twigs,High,
Patima guianensis Aubl. (= Sabicea guianensis),Rubiaceae,Schnell and Grout de Beaufort (1966); Davidson and McKey (1989); Delprete et al. (2005) ,Guyanas and Northern Brazil,Stem domatia - hollow twigs apparently swollen ,High,Inhabited by six species of ants including Pseudomyrmex tenuis (c.f. Delprete et al.[ 2005])
Philodendron myrmecophilum Engl.,Araceae,Engler (1913); C.R. Huxley-Lambrick pers. comm,Neotropics,Tangled roots providing a scaffold for ant nesting: specialized ant garden epiphyte,High,ants nest among roots; Madison 1979 Selbeyana
Piper begoniicolor Trel. & Yunck.,Piperaceae - Piper subgenus - Macrostachys,"Tepe et al. (2004), hypothesized based on structure, not observed in the field",Neotropics,Enclosing leaf sheath domatia,Moderate,
Piper biseriatum C.DC.,Piperaceae - Piper subgenus - Macrostachys,Tepe et al. (2004),Neotropics,Enclosing leaf sheath domatia,High,
Piper calcariforme Tebbs,Piperaceae - Piper subgenus - Macrostachys,Tepe et al. (2004),Neotropics,Enclosing leaf sheath domatia,High,
Piper caracasanum Bredem. ex Link,Piperaceae - Piper subgenus - Macrostachys,"Tepe et al. (2004), hypothesized based on structure, not observed in the field",Neotropics,Enclosing leaf sheath domatia,Moderate,
Piper cenocladum C.DC.,Piperaceae - Piper subgenus - Macrostachys,Rish et al. (1977),Neotropics,Two types of domatia: enclosing leaf sheath domatia and hollow stem domatia,High,
Piper cernuum Vell.,Piperaceae - Piper subgenus - Macrostachys,"Tepe et al. (2004), hypothesized based on structure, not observed in the field",Neotropics,Enclosing leaf sheath domatia,Moderate,
Piper cogolloi Callejas,Piperaceae - Piper subgenus - Macrostachys,"Tepe et al. (2004), hypothesized based on structure, not observed in the field",Neotropics,Enclosing leaf sheath domatia,Moderate,
Piper fimbriulatum C. DC.,Piperaceae - Piper subgenus - Macrostachys,Jolivet (1996); Tepe et al. (2004),Neotropics,Two types of domatia: enclosing leaf sheath domatia and hollow stem domatia,High,
Piper gigantifolium C.DC.,Piperaceae - Piper subgenus - Macrostachys,"Tepe et al. (2004), hypothesized based on structure, not observed in the field",Neotropics,Enclosing leaf sheath domatia,Moderate,
Piper imperiale (Miq.) C.DC.,Piperaceae - Piper subgenus - Macrostachys,Tepe et al. (2004),Neotropics,Enclosing leaf sheath domatia,High,
Piper longispicum C.DC. (= P. euryphyllum C. DC.),Piperaceae - Piper subgenus - Macrostachys,Tepe et al. (2004),Neotropics,Enclosing leaf sheath domatia,High,
Piper marsupiatum Trel. & Yunck.,Piperaceae - Piper subgenus - Macrostachys,Tepe et al. (2004),Neotropics,Enclosing leaf sheath domatia,High,
Piper myrmecophilum C.DC.,Piperaceae,Jolivet (1996); Gardner (2006),Philippines,Leaf pouch at the apex of the petiole,High,
Piper nobile C.DC.,Piperaceae - Piper subgenus - Macrostachys,"Tepe et al. (2004), hypothesized based on structure, not observed in the field",Neotropics,Enclosing leaf sheath domatia,Moderate,
Piper obliquum Ruiz & Pav.,Piperaceae - Piper subgenus - Macrostachys,Rish et al. (1977),Neotropics,Two types of domatia: enclosing leaf sheath domatia and hollow stem domatia,High,
Piper obtusilimbum C. DC.,Piperaceae - Piper subgenus - Macrostachys,Tepe et al. (2004),Neotropics,Enclosing leaf sheath domatia,High,
Piper pseudonobile C. DC.,Piperaceae - Piper subgenus - Macrostachys,"Tepe et al. (2004), hypothesized based on structure, not observed in the field",Neotropics,Enclosing leaf sheath domatia,Moderate,
Piper sagittifolium C. DC.,Piperaceae - Piper subgenus - Macrostachys,Rish et al. (1977),Neotropics,Two types of domatia: enclosing leaf sheath domatia and hollow stem domatia,High,
Piper subglabribracteatum C. DC.,Piperaceae - Piper subgenus - Macrostachys,"Tepe et al. (2004), hypothesized based on structure, not observed in the field",Neotropics,Enclosing leaf sheath domatia,Moderate,
Pithecellobium saman (Jacq.) Benth.,Fabaceae,Ward (1991),Neotropics,Stem domatia - hollow twigs (hollowed by ants?) inhabited by Pseudomyrmex perboscii,"Interaction apparently consistent, but likely very early stage",
Platycerium coronarium (Mull.) Desv.,Polypodiaceae,Henniptman and Roos (1982); Moog et al. (2003); Inui et al. (2009),SE Asia - Malaysia,External domatia - dimorphic leaves forming external domatia between the  epiphytic fern and the host tree,High,
Platycerium ridleyi Christ,Polypodiaceae,Moog et al. (2003),SE Asia - Malaysia,External domatia - dimorphic leaves forming external domatia between the  epiphytic fern and the host tree,High,
Platymiscium darienense Dwyer,Fabaceae - Faboideae - Dalbergieae,Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,
Platymiscium dimorphandrum Donn.Sm.,Fabaceae - Faboideae - Dalbergieae,Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,
Platymiscium filipes Benth.,Fabaceae - Faboideae - Dalbergieae,Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,
Platymiscium floribundum Vogel,Fabaceae - Faboideae - Dalbergieae,Bequaert (1922); Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,
Platymiscium gracile Benth.,Fabaceae - Faboideae - Dalbergieae,Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,
Platymiscium pinnatum (Jacq.) Dugand,Fabaceae - Faboideae - Dalbergieae,"Klitgaard (2005); Chomicki et al. (2015): P. ulei and P. pinnatum are nested in distinct clades, rejecting that they are the same species as suggested by Klitgaard (2005)",Neotropics,Stem domatia - hollow twigs,High,
Platymiscium speciosum Vogel,Fabaceae - Faboideae - Dalbergieae,Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,
Platymiscium stipulare Benth.,Fabaceae - Faboideae - Dalbergieae,Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,
Platymiscium trinitatis Benth.,Fabaceae - Faboideae - Dalbergieae,Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,
Platymiscium ulei Harms,Fabaceae - Faboideae - Dalbergieae,"Klitgaard (2005); Chomicki et al. (2015): P. ulei and P. pinnatum are nested in distinct clades, rejecting that they are the same species as suggested by Klitgaard (2005)",Neotropics,Stem domatia - hollow twigs,High,
Plectronia laurentii De Wild.,Rubiaceae,Kohl (1909); lUphof (1942); Jolivet (1996),Tropical Africa,Stem domatia - swollen hollow twigs,High,
Pleurothyrium cuneifolium Nees,Lauraceae,Van der Werff (1988),"Brazil, Ecuador, Colombia",Stem domatia - swollen hollow twigs,High,
Pleurothyrium obovatum van der Werff,Lauraceae,Van der Werff (1988),"Ecuador, altitude up to 2800 m",Stem domatia - swollen hollow twigs,High,
Pleurothyrium parviflorum Ducke,Lauraceae,Schumann (1888); Bequaert (1922); Van der Werff (2008),"Western Amazon (Ecuador, Peru) and Central Amazon (Brazil)",Stem domatia - swollen hollow twigs,High,
Pleurothyrium poeppigii Nees,Lauraceae,Van der Werff (2008),"Bolivia, Brazil, Colombia, Ecuador, Peru",Stem domatia - swollen hollow twigs,High,
Polypodium schomburgkianum Kunze,Polypodiaceae,Spruce (1908); Huxley (1980),Neotropics,Stem domatia - hollow rhizome,High,
Pometia pinnata J.R. Forst. & G. Forst.,Sapindaceae,Moog et al. (2003); Moog et al. (2008),SE Asia - Malaysia,Leaf domatia - leaf domatia are formed by two pairs of strongly modified basal leaflets clasping the stem (external sensu stricto),High,
Pourouma formicarum Ducke,Urticaceae,Berg et al. (1990),Neotropics,Leaf domatia - swollen sacs at the base of the petiole (the plants are epiphytes),High,Benson (1985) say the frequent occupants are Allomerus ants
Pourouma myrmecophila Ducke,Urticaceae,Berg et al. (1990),Neotropics,Leaf domatia - swollen sacs at the base of the petiole (the plants are epiphytes),High,Benson (1985) say the frequent occupants are Allomerus ants
Psychotria bidentata (Benth.) Hiern (formerly Uragoga),Rubiaceae,C.R. Huxley pers. comm.,West Africa,Stem domatia - hollow stems - details unknown,Moderate,
Psychotria cyanopharynx K.Schum. (=Grumilea refractistipula Wildeman),Rubiaceae,Wildeman (1923); Jolivet (1996); C.R. Huxley pers. comm. ,Africa,Stem domatia - details unknown,Moderate,"Note [De Wildeman and Durand (1901. p. 130)]: ""Arbuste de 2 m. environ, toujours habité par de nombreuses fourmis noires"". First indentified as Grumilea venosa by de Wildeman, and later rectified (see Jolivet 1996)"
Psychotria myrmecophila K.Schum. & Lauterb.,Rubiaceae,Schumann and Lant (1901); Bequaert (1922); Heckroth et al. (2004); Jolivet (1996),New Guinea,"Stipular domatia - ""In Psychotria myrmecophila, from the Bismarck Gebirge, we have a new type of ant-plant with curious excavated trifid stipules, which appear to harbour ants in their recesses; its biological relations will require to be worked out on the spot.""",Moderate,https://www.nature.com/articles/063586b0
Psydrax bridsoniana Cheek & Sonké,Rubiaceae,Cheek and Sonké (2004),"Tropical Africa, West African forest block",Stem domatia - swollen hollow twigs,High,
Psydrax dunlapii (Hutch. & Dalziel) Bridson,Rubiaceae,Bridson (1985),"Tropical Africa, West African forest block",Stem domatia - swollen hollow twigs,High,
Psydrax paradoxa (Virot) Mouly,Rubiaceae,Mouly (2006),New Caledonia,Stem domatia - swollen hollow twigs,High,
Psydrax parviflora (Afzel.) Bridson,Rubiaceae,C.R. Huxley-Lambrick pers. comm.,Tropical Africa,Stem domatia - hollow stems - details unknown,Moderate,
