Species,fixerCH,fixer,num_introduced,total_area_introduced,total_area_native,lat_native,abs_lat_native,annual,uses_num_uses,mah_state,soud_state,ConsensusTOTAL
Copaifera_langsdorffii,FALSE,1,0,0,6.13E+12,-16.73553387,16.73553387,0,0,AM,AM,AM
Copaifera_officinalis,FALSE,1,5,3.79E+11,3.05E+12,5.62116566,5.62116566,0,5,NA,AM,AM
Coronilla_scorpioides,TRUE,2,1,7.94E+12,2.37E+13,41.75047739,41.75047739,1,4,AM,AM,AM
Crotalaria_assamica,TRUE,2,0,0,6.19E+12,20.88899351,20.88899351,0,2,NA,AM,AM
Crotalaria_goreensis,TRUE,2,8,2.10E+13,1.92E+13,1.07734205,1.07734205,0,3,AM,NA,AM
Crotalaria_incana,TRUE,2,20,1.43E+13,2.93E+12,13.62616928,13.62616928,0,4,AM,AM,AM
Crotalaria_ochroleuca,TRUE,2,9,1.26E+13,1.96E+13,2.46809908,2.46809908,0,0,AM,AM,AM
Crotalaria_pallida,TRUE,2,37,1.73E+13,3.48E+13,12.53796268,12.53796268,0,7,NA,AM,AM
Crotalaria_retusa,TRUE,2,36,1.48E+13,2.34E+13,8.42631233,8.42631233,0,8,NA,AM,AM
Crotalaria_trichotoma,TRUE,2,32,9.41E+12,2.92E+12,-4.85462577,4.85462577,0,3,NA,AM,AM
Cylicodiscus_gabunensis,FALSE,1,0,0,2.22E+12,7.28492296,7.28492296,0,1,AM,AM,AM
Cytisus_purpureus,TRUE,2,5,5.65E+11,6.19E+11,43.30126237,43.30126237,0,1,NA,AM,AM
Cytisus_scoparius,TRUE,2,27,3.10E+13,6.20E+12,47.697596,47.697596,0,9,AM,AM,AM
Dalbergia_assamica,TRUE,2,1,5.82E+11,3.96E+12,22.46971874,22.46971874,0,1,NA,EcM,EM
Dalbergia_hupeana,TRUE,2,0,0,3.19E+12,23.16494434,23.16494434,0,0,NA,AM,AM
Dalbergia_melanoxylon,TRUE,2,4,1.06E+12,2.18E+13,2.84434797,2.84434797,0,1,NA,AM,AM
Dalbergia_nigra,TRUE,2,0,0,1.48E+12,-18.27126198,18.27126198,0,3,NA,AM,AM
Dalbergia_oliveri,TRUE,2,1,2.12E+12,1.72E+12,19.68540669,19.68540669,0,1,NA,AM,AM
Dalbergia_sissoo,TRUE,2,14,1.66E+13,1.10E+13,18.61983451,18.61983451,0,5,AM,AM,AM
Dalea_candida,TRUE,2,0,0,2.36E+12,40.10070269,40.10070269,0,0,AM,AM,AM
Dalea_purpurea,TRUE,2,0,0,4.57E+12,39.31050305,39.31050305,0,0,AM,NA,AM
Daviesia_cordata,TRUE,2,0,0,2.53E+12,-25.46607155,25.46607155,0,0,NA,non-mycorrhizal (checked for all types),NM
Daviesia_corymbosa,TRUE,2,0,0,8.02E+11,-32.17021086,32.17021086,0,0,AM,NA,AM
Daviesia_leptophylla,TRUE,2,0,0,3.74E+12,-27.68672637,27.68672637,0,0,NA,EcM,EM
Desmanthus_illinoensis,TRUE,2,2,38271344951,4.89E+12,37.70964374,37.70964374,0,1,AM,AM,AM
Desmanthus_virgatus,TRUE,2,29,1.42E+13,7.27E+12,3.88421519,3.88421519,0,4,NA,AM,AM
Desmodium_elegans,TRUE,2,1,2.31E+11,5.76E+12,27.40509156,27.40509156,0,1,NA,AM,AM
Desmodium_gangeticum,TRUE,2,8,23877630652,4.05E+13,8.72706435,8.72706435,0,4,NA,AM,AM
Desmodium_heterocarpon,TRUE,2,6,1.52E+12,1.87E+13,12.71907338,12.71907338,0,0,AM,AM,AM
Desmodium_microphyllum,TRUE,2,0,0,1.76E+13,10.02566695,10.02566695,0,3,AM,NA,AM
Desmodium_tortuosum,TRUE,2,28,2.92E+13,1.34E+13,13.2606484,13.2606484,0,4,NA,AM,AM
Dicorynia_guianensis,FALSE,1,0,0,4.39E+11,4.40767396,4.40767396,0,0,AM,AM,AM
Didelotia_africana,FALSE,1,0,0,1.63E+12,6.87712086,6.87712086,0,1,EM,EcM,EM
Dinizia_excelsa,FALSE,1,1,51064226252,1.24E+12,-4.035679,4.035679,0,0,NA,AM,AM
Diphysa_americana,TRUE,2,2,6.08E+11,6.20E+11,14.96718777,14.96718777,0,0,AM,NA,AM
Diplotropis_purpurea,TRUE,2,0,0,1.22E+13,-2.54010289,2.54010289,0,0,NA,AM,AM
Dipteryx_odorata,FALSE,1,1,28916420.55,6.95E+12,-2.86273331,2.86273331,0,7,NA,AM,AM
Distemonanthus_benthamianus,FALSE,1,0,0,2.45E+12,7.61599512,7.61599512,0,3,AM,AM,AM
Dorycnium_hirsutum,TRUE,2,2,2.68E+11,6.88E+12,38.36405453,38.36405453,0,2,NM,non-mycorrhizal (checked for all types),NM
Dorycnium_pentaphyllum,TRUE,2,2,2.68E+11,6.96E+12,39.33877667,39.33877667,0,2,AM,AM,AM
Entada_abyssinica,TRUE,2,0,0,1.62E+13,6.69235724,6.69235724,0,1,NA,AM,AM
