"","Phy","Exotic_status","total.area"
"161","Odontomachus_haematodus","Intercepted",52261.78602
"162","Odontomachus_monticola","Intercepted",35607.34397
"163","Odontomachus_simillimus","Intercepted",285129.99005
"164","Oecophylla_longinoda","Intercepted",35607.34397
"165","Oecophylla_smaragdina","Intercepted",383212.13733
"166","Pachycondyla_solitaria","Intercepted",16654.44205
"167","Paraparatrechina_minutula","Intercepted",268475.548
"168","Paratrechina_longicornis","Intercepted",2369866.20973
"169","Pheidole_anastasii","Intercepted",1870965.533
"170","Pheidole_barbata","Intercepted",16654.44205
"171","Pheidole_dentata","Intercepted",35607.34397
"172","Pheidole_dossena","Intercepted",35607.34397
"173","Pheidole_fervens","Intercepted",304082.89197
"174","Pheidole_fervida","Intercepted",16654.44205
"175","Pheidole_flavens","Intercepted",357402.819
"176","Pheidole_harrisonfordi","Intercepted",35607.34397
"177","Pheidole_hyatti","Intercepted",16654.44205
"178","Pheidole_indica","Intercepted",304082.89197
"179","Pheidole_longiscapa","Intercepted",35607.34397
"180","Pheidole_megacephala","Intercepted",730272.86823
"181","Pheidole_moerens","Intercepted",39.41308581
"182","Pheidole_navigans","Intercepted",357402.819
"183","Pheidole_nodus","Intercepted",59521.85571
"184","Pheidole_oceanica","Intercepted",268475.548
"185","Pheidole_pallidula","Intercepted",318961.6037
"186","Pheidole_punctatissima","Intercepted",52261.78602
"187","Pheidole_radoszkowskii","Intercepted",35607.34397
"188","Pheidole_sexspinosa","Intercepted",268475.548
"189","Pheidole_subarmata","Intercepted",35607.34397
"190","Pheidole_susannae","Intercepted",35607.34397
"191","Pheidole_umbonata","Intercepted",268475.548
"192","Pheidole_vafra","Intercepted",35607.34397
"193","Pheidole_variabilis","Intercepted",268475.548
"194","Plagiolepis_alluaudi","Intercepted",357402.819
"195","Plagiolepis_exigua","Intercepted",357402.819
"196","Plagiolepis_pygmaea","Intercepted",318961.6037
"197","Platythyrea_parallela","Intercepted",268475.548
"198","Pogonomyrmex_occidentalis","Intercepted",16654.44205
"199","Polyrhachis_ammon","Intercepted",268475.548
"200","Polyrhachis_atropos","Intercepted",268475.548
"201","Polyrhachis_dives","Intercepted",52261.78602
"202","Polyrhachis_erato","Intercepted",268475.548
"203","Polyrhachis_femorata","Intercepted",285129.99005
"204","Polyrhachis_hector","Intercepted",268475.548
"205","Polyrhachis_nigrita","Intercepted",35607.34397
"206","Polyrhachis_rastellata","Intercepted",7399.97179
"207","Polyrhachis_rufifemur","Intercepted",268475.548
"208","Polyrhachis_saevissima argentea","Intercepted",16654.44205
"209","Polyrhachis_semiaurata","Intercepted",268475.548
"210","Polyrhachis_thrinax","Intercepted",35607.34397
"211","Polyrhachis_trapezoidea","Intercepted",268475.548
"212","Ponera_coarctata","Intercepted",16654.44205
"213","Ponera_swezeyi","Intercepted",268475.548
"214","Ponera_testacea","Intercepted",318961.6037
"215","Prenolepis_imparis","Intercepted",285129.99005
"216","Prenolepis_melanogaster","Intercepted",16654.44205
"217","Prenolepis_nitens","Intercepted",35607.34397
"218","Prionopelta_kraepelini","Intercepted",268475.548
"219","Pristomyrmex_punctatus","Intercepted",268475.548
"220","Pseudomyrmex_gracilis","Intercepted",35607.34397
"221","Pseudoponera_stigma","Intercepted",268475.548
"222","Rhytidoponera_aspera","Intercepted",268475.548
"223","Rhytidoponera_victoriae","Intercepted",268475.548
"224","Rogeria_exsulans","Intercepted",268475.548
"225","Rogeria_stigmatica","Intercepted",268475.548
"226","Solenopsis_aurea","Intercepted",268475.548
"227","Solenopsis_fugax","Intercepted",318961.6037
"228","Solenopsis_gayi","Intercepted",35607.34397
"229","Solenopsis_geminata","Intercepted",791098.93983
"230","Solenopsis_invicta","Intercepted",2125774.27511
"231","Solenopsis_molesta","Intercepted",268475.548
"232","Solenopsis_papuana","Intercepted",268475.548
"233","Solenopsis_picea","Intercepted",35607.34397
"234","Solenopsis_pollux","Intercepted",35607.34397
"235","Solenopsis_saevissima","Intercepted",35607.34397
"236","Strumigenys_godeffroyi","Intercepted",268475.548
"237","Strumigenys_lujae","Intercepted",16654.44205
"238","Strumigenys_membranifera","Intercepted",587437.1517
"239","Strumigenys_minutula","Intercepted",35607.34397
"240","Strumigenys_rogeri","Intercepted",625878.367
"241","Strumigenys_solifontis","Intercepted",174298.1377
"242","Syllophopsis_australica","Intercepted",268475.548
"243","Syllophopsis_sechellensis","Intercepted",268475.548
"244","Tapinoma_ibericum","Intercepted",1420.695368
"245","Tapinoma_magnum","Intercepted",318961.6037
"246","Tapinoma_melanocephalum","Intercepted",42867.41366
"247","Tapinoma_minutum","Intercepted",268475.548
"248","Tapinoma_pygmaeum","Intercepted",35607.34397
"249","Tapinoma_ramulorum","Intercepted",35607.34397
"250","Tapinoma_sessile","Intercepted",320737.33402
"251","Tapinoma_wheeleri","Intercepted",16654.44205
"252","Technomyrmex_albipes","Intercepted",755121.96839
"253","Technomyrmex_difficilis","Intercepted",35607.34397
"254","Technomyrmex_elatior","Intercepted",35607.34397
"255","Technomyrmex_gibbosus","Intercepted",36261.8317
"256","Technomyrmex_kraepelini","Intercepted",35607.34397
"257","Technomyrmex_pallipes","Intercepted",35607.34397
"258","Temnothorax_makora","Intercepted",36261.8317
"259","Temnothorax_schaumii","Intercepted",35607.34397
"260","Temnothorax_subditivus","Intercepted",459932.52542
"261","Tetramorium_bicarinatum","Intercepted",489354.61196
"262","Tetramorium_caespitum","Intercepted",52916.27375
"263","Tetramorium_caldarium","Intercepted",896868.7922
"264","Tetramorium_immigrans","Intercepted",16654.44205
"265","Tetramorium_insolens","Intercepted",851386.4167
"266","Tetramorium_lanuginosum","Intercepted",661485.71097
"267","Tetramorium_obesum","Intercepted",357402.819
"268","Tetramorium_pacificum","Intercepted",320737.33402
"269","Tetramorium_semilaeve","Intercepted",318961.6037
"270","Tetramorium_simillimum","Intercepted",704353.12463
"271","Tetramorium_tonganum","Intercepted",268475.548
"272","Tetraponera_nigra","Intercepted",36261.8317
"273","Tetraponera_rufonigra","Intercepted",268475.548
"274","Trichomyrmex_destructor","Intercepted",575924.10337
"275","Vollenhovia_emeryi","Intercepted",36261.8317
"276","Wasmannia_auropunctata","Intercepted",697747.54267
