Species,introduced,native,num_introduced,total_area_introduced,total_area_native,lat_native,tribe,genus,subfamily,tribe_ncbi,fixer,abs_lat_native,woody,annual,uses_num_uses
Ormosia_semicastrata,0,1,0,0,1.12E+12,22.80529782,Sophoreae,Ormosia,Papilionoideae,Ormosieae,1,22.80529782,1,0,0
Ormosia_smithii,0,0,0,0,0,NA,Sophoreae,Ormosia,Papilionoideae,Ormosieae,0,NA,1,0,0
Ormosia_sumatrana,0,1,0,0,5.05E+12,5.92994035,Sophoreae,Ormosia,Papilionoideae,Ormosieae,1,5.92994035,1,0,0
Ormosia_xylocarpa,0,1,0,0,1.68E+12,21.56615163,Sophoreae,Ormosia,Papilionoideae,Ormosieae,1,21.56615163,1,0,0
Ornithopus_compressus,1,1,4,1.83E+13,7.57E+12,37.85351828,Loteae,Ornithopus,Papilionoideae,Loteae,1,37.85351828,0,1,3
Ornithopus_micranthus,0,0,0,0,0,NA,Loteae,Ornithopus,Papilionoideae,Loteae,1,NA,0,1,0
Ornithopus_perpusillus,1,1,9,9.53E+12,5.53E+12,45.71810203,Loteae,Ornithopus,Papilionoideae,Loteae,1,45.71810203,0,1,2
Ornithopus_pinnatus,1,1,5,1.11E+13,5.75E+12,39.18209087,Loteae,Ornithopus,Papilionoideae,Loteae,1,39.18209087,0,1,0
Ornithopus_sativus,1,1,13,2.37E+13,3.97E+12,25.8039385,Loteae,Ornithopus,Papilionoideae,Loteae,1,25.8039385,0,0,3
Orophaca_caespitosa,0,1,0,0,1.92E+12,42.92251458,Galegeae,Orophaca,Papilionoideae,Galegeae,1,42.92251458,1,0,0
Otholobium_bracteolatum,0,1,0,0,2.67E+12,-25.48651667,Psoraleeae,Otholobium,Papilionoideae,Psoraleeae,1,25.48651667,1,0,0
Otholobium_candicans,0,1,0,0,2.67E+12,-25.48651667,Psoraleeae,Otholobium,Papilionoideae,Psoraleeae,1,25.48651667,1,0,0
Otholobium_decumbens,0,1,0,0,2.67E+12,-25.48651667,Psoraleeae,Otholobium,Papilionoideae,Psoraleeae,1,25.48651667,1,0,0
Otholobium_foliosum,0,1,0,0,5.45E+12,-12.13017074,Psoraleeae,Otholobium,Papilionoideae,Psoraleeae,1,12.13017074,1,0,0
Otholobium_fruticans,1,1,1,4.08E+11,2.67E+12,-25.48651667,Psoraleeae,Otholobium,Papilionoideae,Psoraleeae,1,25.48651667,1,0,0
Otholobium_hirtum,0,1,0,0,2.67E+12,-25.48651667,Psoraleeae,Otholobium,Papilionoideae,Psoraleeae,1,25.48651667,1,0,0
Otholobium_rotundifolium,0,1,0,0,2.67E+12,-25.48651667,Psoraleeae,Otholobium,Papilionoideae,Psoraleeae,1,25.48651667,1,0,0
