Phy,n_introduced_ranges
Solenopsis_richteri,1
Solenopsis_saevissima,5
Solenopsis_saevissima itinerans,2
Solenopsis_terricola,1
Solenopsis_texana,1
Solenopsis_validiuscula,1
Stigmatomma_besucheti,2
Stigmatomma_emeryi,1
Stigmatomma_zwaluwenburgi,3
Strumigenys_argiola,1
Strumigenys_eggersi,5
Strumigenys_emmae,67
Strumigenys_epinotalis,1
Strumigenys_godeffroyi,33
Strumigenys_gundlachi,2
Strumigenys_hexamera,3
Strumigenys_lanuginosa,4
Strumigenys_lewisi,4
Strumigenys_louisianae,2
Strumigenys_ludovici,3
Strumigenys_lujae,1
Strumigenys_margaritae,2
Strumigenys_maxillaris,3
Strumigenys_membranifera,62
Strumigenys_minutula,1
Strumigenys_nepalensis,3
Strumigenys_nigrescens,1
Strumigenys_perplexa,4
Strumigenys_rogeri,52
Strumigenys_silvestrii,10
Strumigenys_simoni,2
Strumigenys_solifontis,1
Strumigenys_xenos,2
Syllophopsis_australica,2
Syllophopsis_cryptobia,2
Syllophopsis_sechellensis,26
Syllophopsis_subcoeca,7
Tapinoma_darioi,3
Tapinoma_ibericum,3
Tapinoma_madeirense,1
Tapinoma_magnum,4
Tapinoma_melanocephalum,90
Tapinoma_minutum,2
Tapinoma_nigerrimum,2
Tapinoma_pygmaeum,1
Tapinoma_ramulorum,1
Tapinoma_sessile,5
Tapinoma_simrothi,15
Tapinoma_wheeleri,1
Technomyrmex_albipes,40
Technomyrmex_brunneus,11
Technomyrmex_difficilis,29
Technomyrmex_elatior,2
Technomyrmex_gibbosus,1
Technomyrmex_jocosus,3
Technomyrmex_kraepelini,4
Technomyrmex_pallipes,11
Technomyrmex_vexatus,2
Technomyrmex_vitiensis,25
Temnothorax_longispinosus,1
Temnothorax_makora,1
Temnothorax_recedens,1
Temnothorax_schaumii,1
Temnothorax_subditivus,3
Temnothorax_unifasciatus,1
Tetramorium_atratulum,2
Tetramorium_bicarinatum,107
Tetramorium_caespitum,2
Tetramorium_caldarium,39
Tetramorium_calidum,1
Tetramorium_delagoense,4
Tetramorium_grassii,1
Tetramorium_immigrans,10
Tetramorium_impurum,1
Tetramorium_insolens,25
Tetramorium_kheperra,1
Tetramorium_kraepelini,4
Tetramorium_lanuginosum,75
Tetramorium_lucayanum,13
Tetramorium_obesum,1
Tetramorium_pacificum,38
Tetramorium_pauper,1
Tetramorium_semilaeve,2
Tetramorium_sericeiventre,4
Tetramorium_simillimum,93
Tetramorium_smithi,8
Tetramorium_tonganum,28
Tetramorium_tsushimae,2
Tetraponera_allaborans,2
Tetraponera_nigra,1
Tetraponera_rufonigra,2
Trichomyrmex_destructor,77
Trichomyrmex_mayri,11
Trichomyrmex_robustior,2
Trichomyrmex_wroughtoni,1
Vollenhovia_emeryi,2
Vollenhovia_nipponica,1
Vollenhovia_oblonga alluaudi,1
Vollenhovia_piroskae,1
Wasmannia_auropunctata,41
