"","Phy","Exotic_status","total.area"
"179","Pheidole_fervens","Exotic",2844484.01534062
"180","Pheidole_flavens","Exotic",154921.62933
"181","Pheidole_guineensis","Exotic",82177.57232
"182","Pheidole_indica","Exotic",17903694.9079909
"183","Pheidole_lamellinoda","Exotic",3829.644984
"184","Pheidole_megacephala","Exotic",31420618.4201501
"185","Pheidole_navigans","Exotic",1886689.80949381
"186","Pheidole_obscurithorax","Exotic",1362395.824
"187","Pheidole_pallidula","Exotic",401309.5420613
"188","Pheidole_parva","Exotic",2345198.50030016
"189","Pheidole_proxima","Exotic",268475.548
"190","Pheidole_pubiventris","Exotic",119504.576
"191","Pheidole_punctatissima","Exotic",293907.89752
"192","Pheidole_rugosula","Exotic",268475.548
"193","Pheidole_sospes","Exotic",147120.3924
"194","Pheidole_susannae","Exotic",75374.90025
"195","Pheidole_vigilans","Exotic",1309688.09413402
"196","Plagiolepis_alluaudi","Exotic",16742990.6863069
"197","Plagiolepis_exigua","Exotic",5367395.284211
"198","Plagiolepis_schmitzii","Exotic",279794.13497
"199","Platythyrea_parallela","Exotic",25637.0171634
"200","Platythyrea_punctata","Exotic",951977.5529
"201","Polyrhachis_dives","Exotic",1149.568923
"202","Ponera_bableti","Exotic",1867.6023447
"203","Ponera_exotica","Exotic",7107.871512
"204","Ponera_leae","Exotic",285583.18365669
"205","Ponera_loi","Exotic",286279.558973
"206","Ponera_swezeyi","Exotic",1556549.80578296
"207","Prionopelta_antillana","Exotic",257340.4906
"208","Prionopelta_kraepelini","Exotic",23360.4719571
"209","Pseudomyrmex_cubaensis","Exotic",123744.5825
"210","Pseudomyrmex_elongatus","Exotic",147120.3924
"211","Pseudomyrmex_gracilis","Exotic",830038.757708
"212","Pseudomyrmex_major","Exotic",130831.5485
"213","Pseudoponera_stigma","Exotic",3778937.26089876
"214","Rhytidoponera_chalybaea","Exotic",268489.89386733
"215","Rhytidoponera_mayri","Exotic",268475.548
"216","Rhytidoponera_metallica","Exotic",271453.878857
"217","Rhytidoponera_victoriae","Exotic",14.34586733
"218","Rogeria_curvipubens","Exotic",7801.23693
"219","Solenopsis_abdita","Exotic",1955714.508
"220","Solenopsis_geminata","Exotic",22239119.8940983
"221","Solenopsis_geminata micans","Exotic",77393.12025
"222","Solenopsis_globularia","Exotic",1138442.91057
"223","Solenopsis_helena","Exotic",264473.242
"224","Solenopsis_invicta","Exotic",7489256.48800338
"225","Solenopsis_macdonaghi","Exotic",1086714.65
"226","Solenopsis_orbula","Exotic",3948.252661
"227","Solenopsis_papuana","Exotic",1745262.27005
"228","Solenopsis_picea","Exotic",306170.0418
"229","Solenopsis_richteri","Exotic",1589832.4429
"230","Solenopsis_saevissima","Exotic",1075066.94573
