valid_species_name,Phy_all_underscore,total.area.native,LogArea.native,Phy
Camponotus.americanus,Camponotus_americanus,8207667.894,6.914219775,Camponotus_americanus
Camponotus.amoris,Camponotus_amoris,2920686.126,6.465484888,Camponotus_amoris
Camponotus.amphidus,Camponotus_amphidus,1086722.51,6.036118663,Camponotus_amphidus
Camponotus.anatolicus,Camponotus_anatolicus,780642.0371,5.892451934,Camponotus_anatolicus
Camponotus.andrei,Camponotus_andrei,2191121.984,6.340666556,Camponotus_andrei
Camponotus.andrewsi,Camponotus_andrewsi,115.9498698,2.064270265,Camponotus_andrewsi
Camponotus.androy,Camponotus_androy,593087.2472,5.773118586,Camponotus_androy
Camponotus.andyyoungi,Camponotus_andyyoungi,3512826.073,6.545656648,Camponotus_andyyoungi
Camponotus.anezkae,Camponotus_anezkae,801827.581,5.904080991,Camponotus_anezkae
Camponotus.anguliceps,Camponotus_anguliceps,737781.7092,5.867927884,Camponotus_anguliceps
Camponotus.angusticeps,Camponotus_angusticeps,1220325.69,6.086475754,Camponotus_angusticeps
Camponotus.angusticollis,Camponotus_angusticollis,4077091.382,6.610350446,Camponotus_angusticollis
Camponotus.anningensis,Camponotus_anningensis,2258667.271,6.353852259,Camponotus_anningensis
Camponotus.annulatus,Camponotus_annulatus,77393.12025,4.888702356,Camponotus_annulatus
Camponotus.anthrax,Camponotus_anthrax,480648.132,5.681827259,Camponotus_anthrax
Camponotus.apicalis,Camponotus_apicalis,8530380.241,6.93096839,Camponotus_apicalis
Camponotus.apostolus,Camponotus_apostolus,51395.81018,4.710927716,Camponotus_apostolus
Camponotus.arabicus,Camponotus_arabicus,2685008.068,6.428945595,Camponotus_arabicus
Camponotus.arboreus,Camponotus_arboreus,6447316.241,6.809378973,Camponotus_arboreus
Camponotus.arcuatus,Camponotus_arcuatus,6581407.055,6.818318752,Camponotus_arcuatus
Camponotus.arenatus,Camponotus_arenatus,4178619.312,6.621032807,Camponotus_arenatus
Camponotus.argus,Camponotus_argus,2326848.226,6.366768056,Camponotus_argus
Camponotus.arhuacus,Camponotus_arhuacus,20326.55968,4.30806388,Camponotus_arhuacus
Camponotus.armeniacus,Camponotus_armeniacus,2489477.838,6.396108264,Camponotus_armeniacus
Camponotus.arminius,Camponotus_arminius,3484095.398,6.542090038,Camponotus_arminius
Camponotus.armstrongi,Camponotus_armstrongi,6135086.996,6.787820725,Camponotus_armstrongi
Camponotus.arnoldinus,Camponotus_arnoldinus,1609941.122,6.206809994,Camponotus_arnoldinus
Camponotus.arrogans,Camponotus_arrogans,2568769.371,6.409725114,Camponotus_arrogans
Camponotus.ashokai,Camponotus_ashokai,38686.85756,4.587563454,Camponotus_ashokai
Camponotus.asli,Camponotus_asli,132314.5167,5.121607495,Camponotus_asli
Camponotus.aterrimus,Camponotus_aterrimus,11875016.38,7.074634217,Camponotus_aterrimus
Camponotus.atlantis,Camponotus_atlantis,8940225.847,6.95134849,Camponotus_atlantis
Camponotus.atriceps,Camponotus_atriceps,17281326.45,7.237577074,Camponotus_atriceps
Camponotus.atricolor,Camponotus_atricolor,1382935.304,6.140801864,Camponotus_atricolor
Camponotus.atriscapus,Camponotus_atriscapus,2326848.226,6.366768056,Camponotus_atriscapus
Camponotus.atrox,Camponotus_atrox,237585.6569,5.375820219,Camponotus_atrox
Camponotus.augustei,Camponotus_augustei,75374.90025,4.87722675,Camponotus_augustei
Camponotus.auratiacus,Camponotus_auratiacus,795520.9331,5.900651612,Camponotus_auratiacus
Camponotus.aureopilus,Camponotus_aureopilus,801827.581,5.904080991,Camponotus_aureopilus
Camponotus.aureus,Camponotus_aureus,513327.8129,5.710394796,Camponotus_aureus
Camponotus.auricomus,Camponotus_auricomus,783876.602,5.894247701,Camponotus_auricomus
Camponotus.auriculatus,Camponotus_auriculatus,66298.46513,4.821503474,Camponotus_auriculatus
Camponotus.auriventris,Camponotus_auriventris,2245151.08,6.351245571,Camponotus_auriventris
Camponotus.aurocinctus,Camponotus_aurocinctus,7622563.684,6.882101061,Camponotus_aurocinctus
Camponotus.aurofasciatus,Camponotus_aurofasciatus,3057.734191,3.485399729,Camponotus_aurofasciatus
Camponotus.auropubens,Camponotus_auropubens,7940461.053,6.89984572,Camponotus_auropubens
Camponotus.aurosus,Camponotus_aurosus,4576.449391,3.660528664,Camponotus_aurosus
Camponotus.autrani,Camponotus_autrani,1325996.215,6.122542284,Camponotus_autrani
Camponotus.avius,Camponotus_avius,1637246.642,6.214114108,Camponotus_avius
Camponotus.bakeri,Camponotus_bakeri,702066.031,5.846377961,Camponotus_bakeri
Camponotus.baldaccii,Camponotus_baldaccii,4769128.29,6.678439005,Camponotus_baldaccii
Camponotus.balzani,Camponotus_balzani,8581477.273,6.933562057,Camponotus_balzani
