Phy,Counts
Acosmium lentiscifolium,35
Acosmium nitens,982
Acosmium praeclarum,45
Acrocarpus fraxinifolius,50
Adenanthera aglaosperma,179
Adenanthera intermedia,4894
Adenocarpus complicatus,50
Adenocarpus decorticans,114
Adenocarpus foliolosus,43
Adenodolichos punctatus,3214
Adesmia bicolor,6569
Adesmia capitellata,138
Adesmia glomerula,142
Adesmia latifolia,2708
Adesmia muricata,1782
Adesmia punctata,2170
Adesmia retusa,519
Aeschynomene abyssinica,1367
Aeschynomene afraspera,302
Aeschynomene americana,32057
Aeschynomene aphylla,625
Aeschynomene aspera,1843
Aeschynomene bracteosa,452
Aeschynomene brasiliana,1271
Aeschynomene brevifolia,584
Aeschynomene ciliata,1473
Aeschynomene crassicaulis,351
Aeschynomene cristata,1252
Aeschynomene denticulata,688
Aeschynomene elaphroxylon,302
Aeschynomene evenia,304
Aeschynomene falcata,913
Aeschynomene filosa,1215
Aeschynomene fluitans,471
Aeschynomene fluminensis,868
Aeschynomene fulgida,424
Aeschynomene gazensis,309
Aeschynomene grandistipulata,307
Aeschynomene histrix,332
Aeschynomene indica,18021
Aeschynomene inyangensis,306
Aeschynomene lateritia,340
Aeschynomene laxiflora,564
Aeschynomene mediocris,353
Aeschynomene megalophylla,345
Aeschynomene mimosifolia,364
Aeschynomene minutiflora,421
Aeschynomene nilotica,1479
Aeschynomene nodulosa,362
Aeschynomene nyassana,305
Aeschynomene nyikensis,308
Aeschynomene paniculata,2990
Aeschynomene pfundii,302
Aeschynomene pratensis,1585
Aeschynomene rehmannii,344
Aeschynomene rudis,820
Aeschynomene scabra,1182
Aeschynomene schimperi,461
Aeschynomene schliebenii,361
Aeschynomene sensitiva,380
Aeschynomene tambacoundensis,302
Aeschynomene trigonocarpa,304
Aeschynomene uniflora,1025
Aeschynomene virginica,2232
Aeschynomene viscidula,319
Affonsea aptera,118
Affonsea bahiensis,173
Affonsea bullata,520
Afzelia rhomboidea,282
Aganope gabonica,79
Albizia acle,1330
Albizia adinocephala,1134
Albizia amara,10082
Albizia anthelmintica,1278
Albizia antunesiana,1134
Albizia brevifolia,1414
Albizia carbonaria,1404
Albizia chevalieri,1287
Albizia chinensis,10957
Albizia coriaria,1624
Albizia edwallii,1137
Albizia elegans,31649
Albizia forbesii,1312
Albizia guachapele,1145
Albizia gummifera,1254
Albizia harveyi,2487
Albizia inundata,1187
Albizia julibrissin,1203
Albizia kalkora,1137
Albizia lebbeck,1185
Albizia lebbekoides,1134
Albizia lucidior,1134
Albizia multiflora,2328
Albizia niopoides,1134
Albizia odoratissima,1267
Albizia pedicellaris,1158
Albizia petersiana,1167
Albizia polycephala,1159
Albizia procera,2578
Albizia retusa,1548
Albizia saponaria,1642
Albizia schimperiana,1180
Albizia subdimidiata,1135
Albizia suluensis,1147
Albizia tanganyicensis,1144
Albizia versicolor,4778
Albizia zimmermannii,1141
Aldina heterophylla,1857
Aldina latifolia,3559
Alexa grandiflora,17220
Alexa imperatricis,15367
Alexa wachenheimii,15368
Alhagi maurorum,350
Alhagi sparsifolia,340
Alistilus bechuanicus,4
Almaleea paludosa,409
Alysicarpus bupleurifolius,78
Alysicarpus glumaceus,78
Alysicarpus heterophyllus,1015
Alysicarpus longifolius,134
Alysicarpus ludens,928
Alysicarpus monilifer,90
Alysicarpus ovalifolius,83
Alysicarpus pubescens,2636
Alysicarpus rugosus,336
Alysicarpus scariosus,122
Alysicarpus tetragonolobus,514
Alysicarpus vaginalis,5287
Alysicarpus zeyheri,168
Amblygonocarpus andongensis,27
Amburana cearensis,222
Amicia medicaginea,73
Amicia micrantha,768
Amicia zygomeris,66
Ammopiptanthus mongolicus,237
Amorpha californica,3090
Amorpha canescens,1325
Amorpha fruticosa,1297
Amorpha glabra,2764
Amorpha herbacea,756
Amorpha nana,21462
Amphicarpaea bracteata,439
Amphithalea ericifolia,51
Amphithalea intermedia,4722
Anadenanthera colubrina,433
Anadenanthera peregrina,1948
Anagyris foetida,1526
Andira anthelmia,283
Andira coriacea,1146
Andira fraxinifolia,286
Andira frondosa,1019
Andira inermis,1781
Andira legalis,546
Andira micrantha,953
Andira nitida,1162
Andira parviflora,1455
Andira surinamensis,825
Andira unifoliolata,267
Anthonotha graciliflora,73
Anthyllis barba-jovis,11121
Anthyllis cornicina,165
Anthyllis cytisoides,167
Anthyllis henoniana,154
Anthyllis lotoides,196
Anthyllis montana,17154
Anthyllis vulneraria,167
Antopetitia abyssinica,1066
Aotus ericoides,905
Aotus lanigera,953
Aotus tietkensii,689
Apios americana,31810
Apios carnea,1015
Apuleia leiocarpa,138
Arachis batizocoi,5035
Arachis burkartii,5043
Arachis cardenasii,5056
Arachis diogoi,5034
Arachis duranensis,5034
Arachis glabrata,8700
Arachis helodes,5058
Arachis hypogaea,5117
Arachis marginata,6396
Arachis monticola,5791
Arachis pintoi,5075
Arachis prostrata,5505
Arachis pusilla,5869
Arachis stenosperma,5037
Arachis villosa,6284
Arachis villosulicarpa,5035
Archidendron bigeminum,206
Archidendron bubalinum,194
Archidendron clypearia,210
Archidendron ellipticum,269
Archidendron jiringa,239
Archidendron lucidum,3310
Archidendron scutiferum,195
Archidendron utile,1320
Archidendropsis basaltica,34
Archidendropsis thozetiana,21
Argyrolobium adscendens,217
Argyrolobium amplexicaule,152
Argyrolobium biebersteinii,117
Argyrolobium candicans,227
Argyrolobium collinum,78
Argyrolobium eylesii,40
Argyrolobium filiforme,230
Argyrolobium flaccidum,165
Argyrolobium harveyanum,37
Argyrolobium humile,427
Argyrolobium lanceolatum,382
Argyrolobium lancifolium,151
Argyrolobium lunare,137
Argyrolobium molle,2681
Argyrolobium patens,1524
Argyrolobium pauciflorum,131
Argyrolobium pumilum,213
Argyrolobium roseum,679
Argyrolobium rupestre,999
Argyrolobium sericeum,91
Argyrolobium speciosum,242
Argyrolobium stenophyllum,104
Argyrolobium stipulaceum,47
Argyrolobium tomentosum,340
Argyrolobium transvaalense,48
Argyrolobium tuberosum,6443
Argyrolobium uniflorum,341
Argyrolobium variopile,35
Argyrolobium zanonii,43
Aspalathus abietina,603
Aspalathus acicularis,435
Aspalathus acuminata,3371
Aspalathus albens,353
Aspalathus alopecurus,662
Aspalathus angustifolia,3931
Aspalathus araneosa,353
Aspalathus argyrophanes,329
Aspalathus aspalathoides,369
Aspalathus asparagoides,366
Aspalathus astroites,332
Aspalathus biflora,499
Aspalathus bodkinii,329
Aspalathus bracteata,744
Aspalathus capensis,2708
Aspalathus carnosa,461
Aspalathus cephalotes,642
Aspalathus chenopoda,333
Aspalathus chortophila,343
Aspalathus ciliaris,904
Aspalathus cinerascens,545
Aspalathus commutata,389
Aspalathus confusa,862
Aspalathus cordata,1866
Aspalathus crassisepala,335
Aspalathus crenata,1412
Aspalathus divaricata,1088
Aspalathus ericifolia,374
Aspalathus flexuosa,1200
Aspalathus forbesii,507
Aspalathus frankenioides,328
Aspalathus gerrardii,393
Aspalathus heterophylla,1242
Aspalathus hirta,1162
Aspalathus hispida,1668
Aspalathus hystrix,1295
Aspalathus inops,368
Aspalathus juniperina,358
Aspalathus lactea,646
Aspalathus laeta,784
Aspalathus laricifolia,340
Aspalathus linearis,974
Aspalathus linguiloba,328
Aspalathus longifolia,2193
Aspalathus longipes,1229
Aspalathus macrantha,498
Aspalathus microphylla,1019
Aspalathus muraltioides,328
Aspalathus nigra,10531
Aspalathus nivea,1484
Aspalathus opaca,623
Aspalathus pachyloba,340
Aspalathus pendula,1924
Aspalathus quinquefolia,403
Aspalathus recurva,423
Aspalathus retroflexa,352
Aspalathus rubens,15802
Aspalathus salteri,355
Aspalathus sericea,1159
Aspalathus setacea,447
Aspalathus spicata,1465
Aspalathus spinescens,385
Aspalathus spinosa,3444
Aspalathus spinosissima,398
Aspalathus stenophylla,496
Aspalathus teres,2080
Aspalathus ternata,678
Aspalathus tuberculata,1140
Aspalathus ulicina,340
Aspalathus uniflora,1055
Astracantha echinus,223
Astracantha gummifera,155
Astragalus aboriginum,3909
Astragalus adsurgens,3903
Astragalus aduncus,4112
Astragalus agrestis,4483
Astragalus algerianus,3896
Astragalus allochrous,3898
Astragalus alopecias,4123
Astragalus alopecuroides,4170
Astragalus alpinus,5348
Astragalus americanus,7694
Astragalus amherstianus,3896
Astragalus ammodytes,4309
Astragalus angustifolius,4751
Astragalus annularis,4332
Astragalus arenarius,4051
Astragalus argophyllus,3928
Astragalus armatus,4428
Astragalus asper,5372
Astragalus asymmetricus,3911
Astragalus atropilosulus,3896
Astragalus australis,11039
Astragalus austrosibiricus,3900
Astragalus beckwithii,3896
Astragalus bisulcatus,3902
Astragalus bodinii,3897
Astragalus boeticus,3925
Astragalus bolanderi,3938
Astragalus brachycarpus,3905
Astragalus brazoensis,3896
Astragalus callichrous,3898
Astragalus campylosema,3896
Astragalus canadensis,8471
Astragalus ceramicus,3924
Astragalus chamissonis,3975
Astragalus chinensis,13745
Astragalus chlorostachys,3917
Astragalus chrysopterus,3919
Astragalus cicer,7750
Astragalus complanatus,3950
Astragalus concretus,3916
Astragalus coquimbensis,3915
Astragalus corrugatus,3961
Astragalus crassicarpus,3896
Astragalus crenatus,3971
Astragalus cysticalyx,3896
Astragalus dahuricus,3924
Astragalus danicus,3927
Astragalus densiflorus,3966
Astragalus drummondii,4182
Astragalus echinatus,4029
Astragalus epiglottis,4621
Astragalus eucosmus,3898
Astragalus falcatus,4113
Astragalus falciformis,4079
Astragalus filicaulis,3923
Astragalus flexuosus,4197
Astragalus frigidus,3978
Astragalus galegiformis,3897
Astragalus gambelianus,3896
Astragalus geminiflorus,3898
Astragalus glaux,3937
Astragalus glycyphyllos,3896
Astragalus gombo,4023
Astragalus gracilis,10638
Astragalus graveolens,6172
Astragalus hamosus,3900
Astragalus himalayanus,3947
Astragalus hispidulus,3918
Astragalus hornii,3905
Astragalus humistratus,3897
Astragalus hypogaeus,3900
Astragalus hypoglottis,3896
Astragalus jaegerianus,3896
Astragalus karkarensis,3896
Astragalus kentrophyta,3896
Astragalus lasiophyllus,3897
Astragalus lehmannianus,3897
Astragalus lentiginosus,3966
Astragalus leontinus,3901
Astragalus leptocarpus,3905
Astragalus leucocephalus,4168
Astragalus lindheimeri,3945
Astragalus lonchocarpus,4296
Astragalus luristanicus,3899
Astragalus miniatus,3986
Astragalus miser,4537
Astragalus missouriensis,4008
Astragalus mollissimus,3902
Astragalus monspessulanus,3925
Astragalus neglectus,4268
Astragalus nothoxys,3896
Astragalus nuttallianus,3899
Astragalus nuttallii,4147
Astragalus odoratus,4195
Astragalus onobrychis,4323
Astragalus orbiculatus,4047
