Phy,Exotic_status
Strumigenys_louisianae,Exotic
Strumigenys_ludovici,Exotic
Strumigenys_lujae,Intercepted
Strumigenys_margaritae,Exotic
Strumigenys_maxillaris,Exotic
Strumigenys_minutula,Intercepted
Strumigenys_nepalensis,Exotic
Strumigenys_nigrescens,Exotic
Strumigenys_perplexa,Exotic
Strumigenys_silvestrii,Exotic
Strumigenys_simoni,Exotic
Strumigenys_solifontis,Intercepted
Strumigenys_xenos,Exotic
Syllophopsis_cryptobia,Exotic
Syllophopsis_subcoeca,Exotic
Tapinoma_madeirense,Exotic
Tapinoma_nigerrimum,Exotic
Tapinoma_pygmaeum,Intercepted
Tapinoma_ramulorum,Intercepted
Tapinoma_simrothi,Exotic
Tapinoma_wheeleri,Intercepted
Technomyrmex_brunneus,Exotic
Technomyrmex_gibbosus,Intercepted
Technomyrmex_jocosus,Exotic
Technomyrmex_vexatus,Exotic
Temnothorax_longispinosus,Exotic
Temnothorax_makora,Intercepted
Temnothorax_recedens,Indoor Introduced
Temnothorax_schaumii,Intercepted
Temnothorax_subditivus,Intercepted
Temnothorax_unifasciatus,Exotic
Tetramorium_atratulum,Exotic
Tetramorium_caespitum,Intercepted
Tetramorium_calidum,Indoor Introduced
Tetramorium_delagoense,Exotic
Tetramorium_grassii,Exotic
Tetramorium_impurum,Exotic
Tetramorium_kheperra,Indoor Introduced
Tetramorium_kraepelini,Exotic
Tetramorium_obesum,Intercepted
Tetramorium_pauper,Exotic
Tetramorium_sericeiventre,Exotic
Tetramorium_smithi,Exotic
Tetramorium_tsushimae,Exotic
Tetraponera_nigra,Intercepted
Trichomyrmex_mayri,Exotic
Trichomyrmex_robustior,Exotic
Trichomyrmex_wroughtoni,Exotic
Vollenhovia_nipponica,Exotic
Vollenhovia_oblonga alluaudi,Exotic
Vollenhovia_piroskae,Exotic
