"Phy","species","RangeY","domY","efnY","n","sum.AM","sum.EM","AM","EM","match"
"Tipuana tipu","Tipuana tipu",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Trifolium alexandrinum","Trifolium alexandrinum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Trifolium alpestre","Trifolium alpestre",TRUE,FALSE,FALSE,3,2,0,"Y","N",TRUE
"Trifolium alpestre","Trifolium alpinum",TRUE,FALSE,FALSE,3,2,0,"Y","N",FALSE
"Trifolium alpestre","Trifolium incarnatum",TRUE,FALSE,FALSE,3,2,0,"Y","N",FALSE
"Trifolium alpestre","Trifolium rubens",TRUE,FALSE,FALSE,3,2,0,"Y","N",FALSE
"Trifolium ambiguum","Trifolium ambiguum",TRUE,FALSE,FALSE,7,6,0,"Y","N",TRUE
"Trifolium angustifolium","Trifolium angustifolium",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Trifolium arvense","Trifolium arvense",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Trifolium aureum","Trifolium aureum",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Trifolium aureum","Trifolium campestre",TRUE,FALSE,FALSE,3,3,0,"Y","N",FALSE
"Trifolium badium","Trifolium badium",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Trifolium campestre","Trifolium campestre",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Trifolium canescens","Trifolium canescens",TRUE,FALSE,FALSE,6,6,0,"Y","N",TRUE
"Trifolium dasyphyllum","Trifolium dasyphyllum",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Trifolium dubium","Trifolium dubium",TRUE,FALSE,FALSE,7,7,0,"Y","N",TRUE
"Trifolium fragiferum","Trifolium fragiferum",TRUE,FALSE,FALSE,4,3,0,"Y","N",TRUE
"Trifolium glomeratum","Trifolium glomeratum",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Trifolium haydenii","Trifolium haydenii",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Trifolium hybridum","Trifolium hybridum",TRUE,FALSE,FALSE,7,6,0,"Y","N",TRUE
"Trifolium lupinaster","Trifolium lupinaster",TRUE,FALSE,FALSE,8,8,0,"Y","N",TRUE
"Trifolium medium","Trifolium alpestre",TRUE,FALSE,FALSE,10,10,0,"Y","N",FALSE
"Trifolium medium","Trifolium medium",TRUE,FALSE,FALSE,10,10,0,"Y","N",TRUE
"Trifolium parryi","Trifolium parryi",TRUE,FALSE,FALSE,2,1,0,"Y","N",TRUE
"Trifolium polyphyllum","Trifolium polyphyllum",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Trifolium pratense","Trifolium pratense",TRUE,FALSE,FALSE,44,43,0,"Y","N",TRUE
"Trifolium repens","Trifolium repens",TRUE,FALSE,FALSE,51,51,0,"Y","N",TRUE
"Trifolium resupinatum","Trifolium resupinatum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Trifolium spadiceum","Trifolium spadiceum",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Trifolium stellatum","Trifolium stellatum",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Trifolium subterraneum","Trifolium subterraneum",TRUE,FALSE,FALSE,6,5,0,"Y","N",TRUE
"Tripodion tetraphyllum","Tripodion tetraphyllum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Ulex europaeus","Ulex europaeus",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Ulex gallii","Ulex gallii",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Uraria cylindracea","Uraria cylindracea",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Vicia americana","Vicia americana",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Vicia cracca","Vicia cracca",TRUE,FALSE,TRUE,17,17,0,"Y","N",TRUE
"Vicia faba","Vicia faba",TRUE,FALSE,TRUE,10,10,0,"Y","N",TRUE
"Vicia hirsuta","Vicia hirsuta",TRUE,FALSE,TRUE,3,3,0,"Y","N",TRUE
"Vicia hirsuta","Vicia parviflora",TRUE,FALSE,TRUE,3,3,0,"Y","N",FALSE
"Vicia ramuliflora","Vicia ramuliflora",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Vicia sativa","Vicia sativa",TRUE,FALSE,TRUE,2,2,0,"Y","N",TRUE
"Vicia sepium","Vicia sepium",TRUE,FALSE,TRUE,19,19,0,"Y","N",TRUE
