"","Phy","Stratum"
"137","Crematogaster_terminalis","Arboreal & Epigaeic"
"138","Crematogaster_torosa","Arboreal & Epigaeic"
"139","Cryptopone_testacea","Hypogaeic"
"140","Cylindromyrmex_whymperi","Epigaeic & Hypogaeic"
"141","Cyphomyrmex_rimosus","Epigaeic"
"142","Cyphomyrmex_salvini","Epigaeic"
"143","Diacamma_indicum","Epigaeic"
"144","Diacamma_rugosum","Epigaeic"
"145","Diacamma_vagans","Epigaeic"
"146","Doleromyrma_darwiniana","Epigaeic"
"147","Dolichoderus_lutosus","Arboreal & Epigaeic"
"148","Dolichoderus_quadripunctatus","Arboreal & Epigaeic"
"149","Dolichoderus_thoracicus","Arboreal & Epigaeic"
"150","Dorylus_fulvus","Epigaeic & Hypogaeic"
"151","Ectatomma_brunneum","Epigaeic"
"152","Ectatomma_ruidum","Epigaeic"
"153","Erromyrma_latinodis","Epigaeic"
"154","Formica_fusca","Epigaeic"
"155","Formica_obscuripes","Epigaeic"
"156","Formica_paralugubris","Epigaeic"
"157","Formica_rufa","Epigaeic"
"158","Formica_rufibarbis","Epigaeic"
"159","Formica_subpolita","Epigaeic"
"160","Gnamptogenys_porcata","Epigaeic"
"161","Gnamptogenys_regularis","Epigaeic"
"162","Gnamptogenys_striatula","Epigaeic"
"163","Gnamptogenys_triangularis","Epigaeic"
"164","Hypoponera_boerorum","Epigaeic & Hypogaeic"
"165","Hypoponera_confinis","Epigaeic & Hypogaeic"
"166","Hypoponera_eduardi","Epigaeic & Hypogaeic"
"167","Hypoponera_elliptica","Epigaeic & Hypogaeic"
"168","Hypoponera_ergatandria","Epigaeic & Hypogaeic"
"169","Hypoponera_gibbinota","Epigaeic & Hypogaeic"
"170","Hypoponera_opaciceps","Epigaeic & Hypogaeic"
"171","Hypoponera_opaciceps pampana","Epigaeic & Hypogaeic"
"172","Hypoponera_opacior","Epigaeic & Hypogaeic"
"173","Hypoponera_punctatissima","Epigaeic & Hypogaeic"
"174","Hypoponera_punctatissima indifferens","Epigaeic & Hypogaeic"
"175","Hypoponera_ragusai","Epigaeic & Hypogaeic"
"176","Hypoponera_trigona","Epigaeic & Hypogaeic"
"177","Hypoponera_zwaluwenburgi","Epigaeic & Hypogaeic"
"178","Iridomyrmex_anceps","Epigaeic"
"179","Iridomyrmex_chasei","Epigaeic"
"180","Iridomyrmex_cyaneus","Epigaeic"
"181","Iridomyrmex_minor","Epigaeic"
"182","Iridomyrmex_purpureus","Epigaeic"
"183","Iridomyrmex_rufoniger","Epigaeic"
"184","Iridomyrmex_suchieri","Epigaeic"
"185","Iridomyrmex_victorianus","Epigaeic"
"186","Lasius_alienus","Epigaeic & Hypogaeic"
"187","Lasius_americanus","Epigaeic & Hypogaeic"
"188","Lasius_citrinus","Epigaeic & Hypogaeic"
"189","Lasius_emarginatus","Epigaeic & Hypogaeic"
"190","Lasius_flavus","Epigaeic & Hypogaeic"
"191","Lasius_fuliginosus","Epigaeic & Hypogaeic"
"192","Lasius_grandis","Epigaeic & Hypogaeic"
"193","Lasius_interjectus","Epigaeic & Hypogaeic"
"194","Lasius_japonicus","Epigaeic & Hypogaeic"
"195","Lasius_lasioides","Epigaeic & Hypogaeic"
"196","Lasius_neglectus","Epigaeic & Hypogaeic"
"197","Lasius_neoniger","Epigaeic & Hypogaeic"
"198","Lasius_niger","Epigaeic & Hypogaeic"
"199","Lasius_productus","Epigaeic & Hypogaeic"
"200","Lasius_sakagamii","Epigaeic & Hypogaeic"
"201","Lepisiota_bipartita","Epigaeic"
"202","Lepisiota_canescens","Epigaeic"
"203","Lepisiota_capensis","Epigaeic"
"204","Lepisiota_frauenfeldi","Epigaeic"
"205","Lepisiota_frauenfeldi kantarensis","Epigaeic"
"206","Lepisiota_incisa","Epigaeic"
"207","Lepisiota_nigra","Epigaeic"
"208","Lepisiota_obtusa","Epigaeic"
"209","Lepisiota_spinisquama","Epigaeic"
"210","Lepisiota_syriaca","Epigaeic"
"211","Leptogenys_falcigera","Epigaeic & Hypogaeic"
"212","Leptogenys_maxillosa","Epigaeic & Hypogaeic"
"213","Leptogenys_pavesii","Epigaeic & Hypogaeic"
"214","Leptomyrmex_wiburdi","Arboreal"
"215","Linepithema_angulatum","Epigaeic"
"216","Linepithema_dispertitum","Epigaeic"
"217","Linepithema_humile","Epigaeic"
"218","Linepithema_iniquum","Epigaeic"
"219","Linepithema_leucomelas","Epigaeic"
"220","Linepithema_micans","Epigaeic"
"221","Liometopum_microcephalum","Epigaeic"
"222","Lioponera_longitarsus","Arboreal & Epigaeic & Hypogaeic"
"223","Mayriella_abstinens","Arboreal & Epigaeic & Hypogaeic"
"224","Mayriella_spinosior","Arboreal & Epigaeic & Hypogaeic"
"225","Melophorus_hirsutus","Epigaeic"
"226","Meranoplus_bicolor","Epigaeic & Hypogaeic"
"227","Meranoplus_castaneus","Epigaeic & Hypogaeic"
"228","Meranoplus_minor","Epigaeic & Hypogaeic"
"229","Mesoponera_testacea","Epigaeic"
"230","Messor_capitatus","Epigaeic"
"231","Messor_lusitanicus","Epigaeic"
"232","Messor_minor","Epigaeic"
"233","Messor_structor","Epigaeic"
"234","Monomorium_andrei","Arboreal & Epigaeic"
"235","Monomorium_atomum","Arboreal & Epigaeic"
"236","Monomorium_atomum cooperi","Arboreal & Epigaeic"
"237","Monomorium_bicolor","Arboreal & Epigaeic"
"238","Monomorium_carbonarium","Arboreal & Epigaeic"
"239","Monomorium_clavicorne","Arboreal & Epigaeic"
"240","Monomorium_dichroum","Arboreal & Epigaeic"
"241","Monomorium_exiguum","Arboreal & Epigaeic"
"242","Monomorium_fieldi","Arboreal & Epigaeic"
"243","Monomorium_floricola","Arboreal & Epigaeic"
"244","Monomorium_holothir","Arboreal & Epigaeic"
"245","Monomorium_indicum","Arboreal & Epigaeic"
"246","Monomorium_intrudens","Arboreal & Epigaeic"
"247","Monomorium_liliuokalanii","Arboreal & Epigaeic"
"248","Monomorium_minimum","Arboreal & Epigaeic"
"249","Monomorium_monomorium","Arboreal & Epigaeic"
"250","Monomorium_pharaonis","Arboreal & Epigaeic"
"251","Monomorium_salomonis","Arboreal & Epigaeic"
"252","Monomorium_subopacum","Arboreal & Epigaeic"
"253","Monomorium_sydneyense","Arboreal & Epigaeic"
"254","Monomorium_trageri","Arboreal & Epigaeic"
"255","Myrmecia_brevinoda","Epigaeic"
"256","Myrmecia_gulosa","Epigaeic"
"257","Myrmecia_nigrocincta","Epigaeic"
"258","Myrmelachista_ramulorum","Arboreal"
"259","Myrmica_kotokui","Epigaeic"
"260","Myrmica_lobulicornis","Epigaeic"
"261","Myrmica_punctiventris","Epigaeic"
"262","Myrmica_rubra","Epigaeic"
"263","Myrmica_rubra neolaevinodis","Epigaeic"
"264","Myrmica_ruginodis","Epigaeic"
"265","Myrmica_scabrinodis","Epigaeic"
"266","Myrmica_specioides","Epigaeic"
"267","Myrmicaria_natalensis","Arboreal & Epigaeic"
"268","Myrmoteras_indicum","Epigaeic"
"269","Neoponera_theresiae","Arboreal & Epigaeic"
"270","Neoponera_unidentata","Arboreal & Epigaeic"
"271","Nesomyrmex_echinatinodis","Arboreal"
"272","Notoncus_ectatommoides","Epigaeic"
"273","Nylanderia_amia","Epigaeic"
"274","Nylanderia_bourbonica","Epigaeic"
"275","Nylanderia_braueri","Epigaeic"
"276","Nylanderia_braueri donisthorpei","Epigaeic"
"277","Nylanderia_clandestina","Epigaeic"
"278","Nylanderia_flavipes","Epigaeic"
"279","Nylanderia_fulva","Epigaeic"
"280","Nylanderia_glabrior","Epigaeic"
"281","Nylanderia_guatemalensis","Epigaeic"
"282","Nylanderia_guatemalensis itinerans","Epigaeic"
"283","Nylanderia_jaegerskioeldi","Epigaeic"
"284","Nylanderia_parvula","Epigaeic"
"285","Nylanderia_pubens","Epigaeic"
"286","Nylanderia_sharpii","Epigaeic"
"287","Nylanderia_steinheili","Epigaeic"
"288","Nylanderia_tasmaniensis","Epigaeic"
"289","Nylanderia_vaga","Epigaeic"
"290","Nylanderia_vividula","Epigaeic"
"291","Ochetellus_glaber","Arboreal & Epigaeic"
"292","Ochetellus_glaber clarithorax","Arboreal & Epigaeic"
"293","Ochetellus_vinsoni","Arboreal & Epigaeic"
"294","Odontomachus_bauri","Epigaeic"
"295","Odontomachus_brunneus","Epigaeic"
"296","Odontomachus_haematodus","Epigaeic"
"297","Odontomachus_monticola","Epigaeic"
"298","Odontomachus_ruginodis","Epigaeic"
"299","Odontomachus_simillimus","Epigaeic"
"300","Odontomachus_troglodytes","Epigaeic"
"301","Oecophylla_longinoda","Arboreal"
"302","Oecophylla_smaragdina","Arboreal"
"303","Ooceraea_biroi","Hypogaeic"
"304","Orectognathus_antennatus","Arboreal & Epigaeic"
"305","Pachycondyla_harpax","Epigaeic"
"306","Pachycondyla_solitaria","Epigaeic"
"307","Paraparatrechina_minutula","Epigaeic"
"308","Parasyscia_sylvicola","Arboreal & Epigaeic"
"309","Paratrechina_longicornis","Epigaeic"
"310","Parvaponera_darwinii","Hypogaeic"
"311","Pheidole_anastasii","Epigaeic"
"312","Pheidole_barbata","Epigaeic"
"313","Pheidole_bilimeki","Epigaeic"
"314","Pheidole_dentata","Epigaeic"
"315","Pheidole_dossena","Epigaeic"
"316","Pheidole_fervens","Epigaeic"
"317","Pheidole_fervida","Epigaeic"
"318","Pheidole_flavens","Epigaeic"
"319","Pheidole_gertrudae","Epigaeic"
"320","Pheidole_guineensis","Epigaeic"
"321","Pheidole_harrisonfordi","Epigaeic"
"322","Pheidole_hyatti","Epigaeic"
"323","Pheidole_indica","Epigaeic"
"324","Pheidole_lamellinoda","Epigaeic"
"325","Pheidole_longiscapa","Epigaeic"
"326","Pheidole_megacephala","Epigaeic"
"327","Pheidole_moerens","Epigaeic"
"328","Pheidole_navigans","Epigaeic"
"329","Pheidole_nodus","Epigaeic"
"330","Pheidole_obscurithorax","Epigaeic"
"331","Pheidole_oceanica","Epigaeic"
"332","Pheidole_pallidula","Epigaeic"
"333","Pheidole_parva","Epigaeic"
"334","Pheidole_proxima","Epigaeic"
"335","Pheidole_pubiventris","Epigaeic"
"336","Pheidole_punctatissima","Epigaeic"
"337","Pheidole_punctulata","Epigaeic"
"338","Pheidole_radoszkowskii","Epigaeic"
"339","Pheidole_rugosula","Epigaeic"
"340","Pheidole_sculpturata welgelegenensis","Epigaeic"
"341","Pheidole_sexspinosa","Epigaeic"
"342","Pheidole_sospes","Epigaeic"
"343","Pheidole_subarmata","Epigaeic"
"344","Pheidole_susannae","Epigaeic"
"345","Pheidole_umbonata","Epigaeic"
"346","Pheidole_vafra","Epigaeic"
"347","Pheidole_variabilis","Epigaeic"
"348","Pheidole_vigilans","Epigaeic"
"349","Plagiolepis_alluaudi","Epigaeic"
"350","Plagiolepis_exigua","Epigaeic"
"351","Plagiolepis_pallescens","Epigaeic"
"352","Plagiolepis_pygmaea","Epigaeic"
"353","Plagiolepis_schmitzii","Epigaeic"
"354","Platythyrea_parallela","Arboreal"
"355","Platythyrea_punctata","Arboreal"
"356","Pogonomyrmex_occidentalis","Epigaeic"
"357","Polyrhachis_ammon","Arboreal & Epigaeic"
"358","Polyrhachis_atropos","Arboreal & Epigaeic"
"359","Polyrhachis_dives","Arboreal & Epigaeic"
"360","Polyrhachis_erato","Arboreal & Epigaeic"
"361","Polyrhachis_femorata","Arboreal & Epigaeic"
"362","Polyrhachis_hector","Arboreal & Epigaeic"
"363","Polyrhachis_nigrita","Arboreal & Epigaeic"
"364","Polyrhachis_rastellata","Arboreal & Epigaeic"
"365","Polyrhachis_rufifemur","Arboreal & Epigaeic"
"366","Polyrhachis_saevissima argentea","Arboreal & Epigaeic"
"367","Polyrhachis_semiaurata","Arboreal & Epigaeic"
"368","Polyrhachis_thrinax","Arboreal & Epigaeic"
"369","Polyrhachis_trapezoidea","Arboreal & Epigaeic"
"370","Ponera_bableti","Epigaeic & Hypogaeic"
"371","Ponera_coarctata","Epigaeic & Hypogaeic"
"372","Ponera_exotica","Epigaeic & Hypogaeic"
"373","Ponera_leae","Epigaeic & Hypogaeic"
"374","Ponera_loi","Epigaeic & Hypogaeic"
"375","Ponera_swezeyi","Epigaeic & Hypogaeic"
"376","Ponera_testacea","Epigaeic & Hypogaeic"
"377","Prenolepis_imparis","Epigaeic"
"378","Prenolepis_melanogaster","Epigaeic"
"379","Prenolepis_nitens","Epigaeic"
"380","Prionopelta_antillana","Epigaeic & Hypogaeic"
"381","Prionopelta_kraepelini","Epigaeic & Hypogaeic"
"382","Pristomyrmex_punctatus","Epigaeic"
"383","Pseudomyrmex_cubaensis","Arboreal"
"384","Pseudomyrmex_elongatus","Arboreal"
"385","Pseudomyrmex_gracilis","Arboreal"
"386","Pseudomyrmex_major","Arboreal"
"387","Pseudoponera_stigma","Epigaeic & Hypogaeic"
"388","Rhytidoponera_aspera","Epigaeic"
"389","Rhytidoponera_chalybaea","Epigaeic"
"390","Rhytidoponera_mayri","Epigaeic"
"391","Rhytidoponera_metallica","Epigaeic"
"392","Rhytidoponera_victoriae","Epigaeic"
"393","Rogeria_curvipubens","Epigaeic & Hypogaeic"
"394","Rogeria_exsulans","Epigaeic & Hypogaeic"
"395","Rogeria_stigmatica","Epigaeic & Hypogaeic"
"396","Solenopsis_abdita","Epigaeic & Hypogaeic"
"397","Solenopsis_aurea","Epigaeic & Hypogaeic"
"398","Solenopsis_fugax","Epigaeic & Hypogaeic"
"399","Solenopsis_gayi","Epigaeic & Hypogaeic"
"400","Solenopsis_geminata","Epigaeic & Hypogaeic"
"401","Solenopsis_geminata micans","Epigaeic & Hypogaeic"
"402","Solenopsis_globularia","Epigaeic & Hypogaeic"
"403","Solenopsis_helena","Epigaeic & Hypogaeic"
"404","Solenopsis_invicta","Epigaeic & Hypogaeic"
"405","Solenopsis_macdonaghi","Epigaeic & Hypogaeic"
"406","Solenopsis_molesta","Epigaeic & Hypogaeic"
"407","Solenopsis_orbula","Epigaeic & Hypogaeic"
"408","Solenopsis_papuana","Epigaeic & Hypogaeic"
"409","Solenopsis_picea","Epigaeic & Hypogaeic"
"410","Solenopsis_pollux","Epigaeic & Hypogaeic"
"411","Solenopsis_richteri","Epigaeic & Hypogaeic"
"412","Solenopsis_saevissima","Epigaeic & Hypogaeic"
"413","Solenopsis_saevissima itinerans","Epigaeic & Hypogaeic"
"414","Solenopsis_terricola","Epigaeic & Hypogaeic"
"415","Solenopsis_texana","Epigaeic & Hypogaeic"
"416","Solenopsis_validiuscula","Epigaeic & Hypogaeic"
"417","Stigmatomma_besucheti","Hypogaeic"
"418","Stigmatomma_emeryi","Hypogaeic"
"419","Stigmatomma_zwaluwenburgi","Hypogaeic"
"420","Strumigenys_argiola","Arboreal & Epigaeic & Hypogaeic"
"421","Strumigenys_eggersi","Arboreal & Epigaeic & Hypogaeic"
"422","Strumigenys_emmae","Arboreal & Epigaeic & Hypogaeic"
"423","Strumigenys_epinotalis","Arboreal & Epigaeic & Hypogaeic"
"424","Strumigenys_godeffroyi","Arboreal & Epigaeic & Hypogaeic"
"425","Strumigenys_gundlachi","Arboreal & Epigaeic & Hypogaeic"
"426","Strumigenys_hexamera","Arboreal & Epigaeic & Hypogaeic"
"427","Strumigenys_lanuginosa","Arboreal & Epigaeic & Hypogaeic"
"428","Strumigenys_lewisi","Arboreal & Epigaeic & Hypogaeic"
"429","Strumigenys_louisianae","Arboreal & Epigaeic & Hypogaeic"
"430","Strumigenys_ludovici","Arboreal & Epigaeic & Hypogaeic"
"431","Strumigenys_lujae","Arboreal & Epigaeic & Hypogaeic"
"432","Strumigenys_margaritae","Arboreal & Epigaeic & Hypogaeic"
"433","Strumigenys_maxillaris","Arboreal & Epigaeic & Hypogaeic"
"434","Strumigenys_membranifera","Arboreal & Epigaeic & Hypogaeic"
"435","Strumigenys_minutula","Arboreal & Epigaeic & Hypogaeic"
"436","Strumigenys_nepalensis","Arboreal & Epigaeic & Hypogaeic"
"437","Strumigenys_nigrescens","Arboreal & Epigaeic & Hypogaeic"
"438","Strumigenys_perplexa","Arboreal & Epigaeic & Hypogaeic"
"439","Strumigenys_rogeri","Arboreal & Epigaeic & Hypogaeic"
"440","Strumigenys_silvestrii","Arboreal & Epigaeic & Hypogaeic"
"441","Strumigenys_simoni","Arboreal & Epigaeic & Hypogaeic"
"442","Strumigenys_solifontis","Arboreal & Epigaeic & Hypogaeic"
"443","Strumigenys_xenos","Arboreal & Epigaeic & Hypogaeic"
"444","Syllophopsis_australica","Epigaeic & Hypogaeic"
"445","Syllophopsis_cryptobia","Epigaeic & Hypogaeic"
"446","Syllophopsis_sechellensis","Epigaeic & Hypogaeic"
"447","Syllophopsis_subcoeca","Epigaeic & Hypogaeic"
"448","Tapinoma_darioi","Arboreal & Epigaeic"
"449","Tapinoma_ibericum","Arboreal & Epigaeic"
"450","Tapinoma_madeirense","Arboreal & Epigaeic"
"451","Tapinoma_magnum","Arboreal & Epigaeic"
"452","Tapinoma_melanocephalum","Arboreal & Epigaeic"
"453","Tapinoma_minutum","Arboreal & Epigaeic"
"454","Tapinoma_nigerrimum","Arboreal & Epigaeic"
"455","Tapinoma_pygmaeum","Arboreal & Epigaeic"
"456","Tapinoma_ramulorum","Arboreal & Epigaeic"
"457","Tapinoma_sessile","Arboreal & Epigaeic"
"458","Tapinoma_simrothi","Arboreal & Epigaeic"
"459","Tapinoma_wheeleri","Arboreal & Epigaeic"
"460","Technomyrmex_albipes","Arboreal & Epigaeic"
"461","Technomyrmex_brunneus","Arboreal & Epigaeic"
"462","Technomyrmex_difficilis","Arboreal & Epigaeic"
"463","Technomyrmex_elatior","Arboreal & Epigaeic"
"464","Technomyrmex_gibbosus","Arboreal & Epigaeic"
"465","Technomyrmex_jocosus","Arboreal & Epigaeic"
"466","Technomyrmex_kraepelini","Arboreal & Epigaeic"
"467","Technomyrmex_pallipes","Arboreal & Epigaeic"
"468","Technomyrmex_vexatus","Arboreal & Epigaeic"
"469","Technomyrmex_vitiensis","Arboreal & Epigaeic"
"470","Temnothorax_longispinosus","Epigaeic"
"471","Temnothorax_makora","Epigaeic"
"472","Temnothorax_recedens","Epigaeic"
"473","Temnothorax_schaumii","Epigaeic"
"474","Temnothorax_subditivus","Epigaeic"
"475","Temnothorax_unifasciatus","Epigaeic"
"476","Tetramorium_atratulum","Arboreal & Epigaeic"
"477","Tetramorium_bicarinatum","Arboreal & Epigaeic"
"478","Tetramorium_caespitum","Arboreal & Epigaeic"
"479","Tetramorium_caldarium","Arboreal & Epigaeic"
"480","Tetramorium_calidum","Arboreal & Epigaeic"
"481","Tetramorium_delagoense","Arboreal & Epigaeic"
"482","Tetramorium_grassii","Arboreal & Epigaeic"
"483","Tetramorium_immigrans","Arboreal & Epigaeic"
"484","Tetramorium_impurum","Arboreal & Epigaeic"
"485","Tetramorium_insolens","Arboreal & Epigaeic"
"486","Tetramorium_kheperra","Arboreal & Epigaeic"
